t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1781848800,78.0,78.0,77.8,77.8,38400,2026-06-19,,,,,,,,
1781848860,77.9,77.9,77.8,77.8,10400,2026-06-19,,,,,,,,
1781848920,77.8,77.8,77.8,77.8,500,2026-06-19,,,,,,,,
1781848980,77.8,77.9,77.8,77.9,4800,2026-06-19,,,,,,,,
1781849040,77.8,78.0,77.5,78.0,162000,2026-06-19,,,,,,,,
1781849100,77.8,77.8,77.7,77.7,1100,2026-06-19,,,,,,,,
1781849160,77.7,77.7,77.7,77.7,600,2026-06-19,,,,,,,,
1781849220,77.8,77.8,77.8,77.8,5100,2026-06-19,,,,,,,,
1781849280,77.7,77.8,77.7,77.8,1400,2026-06-19,,,,,,,,
1781849340,77.8,77.8,77.7,77.7,1900,2026-06-19,,,,,,,,
1781849400,77.7,77.8,77.7,77.8,3500,2026-06-19,,,,,,,,
1781849460,77.7,77.7,77.7,77.7,11000,2026-06-19,,,,,,,,
1781849520,77.7,77.7,77.5,77.5,62200,2026-06-19,,,,,,,,
1781849580,77.7,77.7,77.6,77.7,1100,2026-06-19,,,,,,,,
1781849640,77.7,77.8,77.7,77.8,700,2026-06-19,,,,,,,,
1781849700,77.7,77.8,77.7,77.7,4300,2026-06-19,,,,,,,,
1781849760,77.7,77.7,77.5,77.6,104000,2026-06-19,,,,,,,,
1781849820,77.7,77.7,77.6,77.7,900,2026-06-19,,,,,,,,
1781849880,77.6,77.7,77.6,77.6,1100,2026-06-19,,,,,,,,
1781849940,77.6,77.7,77.6,77.7,900,2026-06-19,,,,,,,,
1781850000,77.7,77.7,77.6,77.7,2400,2026-06-19,,,,,,,,
1781850060,77.7,77.7,77.6,77.7,1800,2026-06-19,,,,,,,,
1781850120,77.7,77.8,77.6,77.7,5500,2026-06-19,,,,,,,,
1781850180,77.7,77.7,77.6,77.7,5800,2026-06-19,,,,,,,,
1781850240,77.7,77.7,77.7,77.7,1300,2026-06-19,,,,,,,,
1781850300,77.7,77.8,77.7,77.7,800,2026-06-19,,,,,,,,
1781850360,77.7,78.0,77.7,77.7,67700,2026-06-19,,,,,,,,
1781850420,77.7,77.8,77.7,77.7,1900,2026-06-19,,,,,,,,
1781850480,77.8,77.8,77.8,77.8,1900,2026-06-19,,,,,,,,
1781850540,77.8,78.0,77.8,77.9,300,2026-06-19,,,,,,,,
1781850600,77.9,77.9,77.8,77.9,1800,2026-06-19,,,,,,,,
1781850660,77.9,78.0,77.9,78.0,22700,2026-06-19,,,,,,,,
1781850720,78.0,78.0,78.0,78.0,1300,2026-06-19,,,,,,,,
