t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1784513700,35.55,35.6,35.55,35.6,17300,2026-07-20,,,,,,,,
1784513760,35.6,35.6,35.6,35.6,5500,2026-07-20,,,,,,,,
1784513820,35.65,35.65,35.65,35.65,4300,2026-07-20,,,,,,,,
1784513880,35.7,35.7,35.65,35.7,23200,2026-07-20,,,,,,,,
1784513940,35.75,35.8,35.7,35.75,25600,2026-07-20,,,,,,,,
1784514000,35.8,35.85,35.8,35.85,7900,2026-07-20,,,,,,,,
1784514060,35.85,35.85,35.85,35.85,7300,2026-07-20,,,,,,,,
1784514120,35.8,35.85,35.8,35.8,4500,2026-07-20,,,,,,,,
1784514180,35.8,35.85,35.8,35.85,7000,2026-07-20,,,,,,,,
1784514240,35.85,35.85,35.8,35.85,1300,2026-07-20,,,,,,,,
1784514300,35.8,35.85,35.75,35.75,35600,2026-07-20,,,,,,,,
1784514360,35.75,35.75,35.7,35.75,43100,2026-07-20,,,,,,,,
1784514420,35.7,35.75,35.7,35.7,7300,2026-07-20,,,,,,,,
1784514480,35.7,35.7,35.7,35.7,3400,2026-07-20,,,,,,,,
1784514540,35.7,35.7,35.65,35.65,3000,2026-07-20,,,,,,,,
1784514600,35.65,35.65,35.6,35.6,1300,2026-07-20,,,,,,,,
1784514660,35.6,35.6,35.55,35.55,16400,2026-07-20,,,,,,,,
1784514720,35.55,35.6,35.55,35.55,7300,2026-07-20,,,,,,,,
1784514780,35.6,35.65,35.6,35.65,4300,2026-07-20,,,,,,,,
1784514840,35.65,35.65,35.65,35.65,1900,2026-07-20,,,,,,,,
1784514900,35.7,35.7,35.7,35.7,100,2026-07-20,,,,,,,,
1784514960,35.65,35.7,35.65,35.65,900,2026-07-20,,,,,,,,
1784515020,35.7,35.75,35.7,35.7,2600,2026-07-20,,,,,,,,
1784515080,35.75,35.8,35.7,35.7,10500,2026-07-20,,,,,,,,
1784515140,35.65,35.7,35.65,35.65,2900,2026-07-20,,,,,,,,
1784515200,35.65,35.65,35.65,35.65,4900,2026-07-20,,,,,,,,
1784515260,35.65,35.65,35.65,35.65,3700,2026-07-20,,,,,,,,
1784515320,35.65,35.65,35.65,35.65,3100,2026-07-20,,,,,,,,
1784515380,35.65,35.65,35.6,35.6,7600,2026-07-20,,,,,,,,
1784515440,35.6,35.6,35.6,35.6,8700,2026-07-20,,,,,,,,
1784515500,35.6,35.6,35.6,35.6,200,2026-07-20,,,,,,,,
1784515560,35.6,35.6,35.6,35.6,1300,2026-07-20,,,,,,,,
1784515680,35.55,35.55,35.55,35.55,2000,2026-07-20,,,,,,,,
1784515740,35.55,35.55,35.55,35.55,2900,2026-07-20,,,,,,,,
1784515800,35.55,35.55,35.55,35.55,2000,2026-07-20,,,,,,,,
1784515860,35.55,35.55,35.55,35.55,3500,2026-07-20,,,,,,,,
1784515920,35.6,35.6,35.55,35.55,200,2026-07-20,,,,,,,,
1784515980,35.55,35.55,35.55,35.55,14100,2026-07-20,,,,,,,,
1784516040,35.55,35.55,35.55,35.55,300,2026-07-20,,,,,,,,
1784516100,35.55,35.55,35.55,35.55,700,2026-07-20,,,,,,,,
1784516160,35.55,35.55,35.4,35.4,10700,2026-07-20,,,,,,,,
1784516220,35.5,35.5,35.5,35.5,600,2026-07-20,,,,,,,,
1784516280,35.5,35.5,35.5,35.5,600,2026-07-20,,,,,,,,
1784516340,35.4,35.45,35.4,35.45,8600,2026-07-20,,,,,,,,
1784516520,35.5,35.5,35.5,35.5,100,2026-07-20,,,,,,,,
1784516580,35.5,35.5,35.45,35.45,400,2026-07-20,,,,,,,,
1784516640,35.45,35.45,35.45,35.45,100,2026-07-20,,,,,,,,
1784516700,35.45,35.45,35.45,35.45,2500,2026-07-20,,,,,,,,
1784516760,35.45,35.45,35.45,35.45,2200,2026-07-20,,,,,,,,
1784516820,35.45,35.45,35.4,35.4,12200,2026-07-20,,,,,,,,
1784516940,35.35,35.35,35.35,35.35,3700,2026-07-20,,,,,,,,
1784517000,35.35,35.35,35.35,35.35,3300,2026-07-20,,,,,,,,
1784517060,35.35,35.35,35.35,35.35,400,2026-07-20,,,,,,,,
1784517120,35.35,35.35,35.35,35.35,300,2026-07-20,,,,,,,,
1784517180,35.35,35.35,35.25,35.25,6500,2026-07-20,,,,,,,,
1784517240,35.25,35.25,35.2,35.2,8100,2026-07-20,,,,,,,,
1784517300,35.2,35.2,35.15,35.15,15900,2026-07-20,,,,,,,,
1784517360,35.15,35.15,35.15,35.15,3400,2026-07-20,,,,,,,,
1784517420,35.15,35.2,35.15,35.2,1000,2026-07-20,,,,,,,,
1784517480,35.2,35.2,35.2,35.2,8500,2026-07-20,,,,,,,,
1784517540,35.2,35.2,35.2,35.2,3000,2026-07-20,,,,,,,,
1784517600,35.2,35.3,35.2,35.3,1100,2026-07-20,,,,,,,,
1784517660,35.2,35.2,35.2,35.2,100,2026-07-20,,,,,,,,
1784517720,35.2,35.2,35.2,35.2,100,2026-07-20,,,,,,,,
1784517780,35.3,35.3,35.2,35.2,500,2026-07-20,,,,,,,,
1784517900,35.25,35.3,35.25,35.3,18900,2026-07-20,,,,,,,,
1784517960,35.3,35.3,35.3,35.3,2000,2026-07-20,,,,,,,,
1784518020,35.35,35.4,35.3,35.4,5100,2026-07-20,,,,,,,,
1784518080,35.4,35.4,35.3,35.4,6500,2026-07-20,,,,,,,,
1784518140,35.4,35.4,35.3,35.3,200,2026-07-20,,,,,,,,
1784518200,35.3,35.4,35.3,35.4,3300,2026-07-20,,,,,,,,
1784518380,35.35,35.35,35.35,35.35,100,2026-07-20,,,,,,,,
1784518440,35.35,35.35,35.35,35.35,2100,2026-07-20,,,,,,,,
1784518560,35.4,35.4,35.4,35.4,5600,2026-07-20,,,,,,,,
1784518620,35.4,35.4,35.35,35.35,2400,2026-07-20,,,,,,,,
1784518740,35.35,35.35,35.35,35.35,5000,2026-07-20,,,,,,,,
1784518800,35.4,35.4,35.4,35.4,400,2026-07-20,,,,,,,,
1784518860,35.35,35.35,35.35,35.35,100,2026-07-20,,,,,,,,
1784518920,35.35,35.35,35.35,35.35,2700,2026-07-20,,,,,,,,
1784518980,35.4,35.4,35.4,35.4,2200,2026-07-20,,,,,,,,
1784519040,35.35,35.35,35.35,35.35,100,2026-07-20,,,,,,,,
1784519100,35.35,35.4,35.35,35.35,2700,2026-07-20,,,,,,,,
1784519220,35.35,35.35,35.35,35.35,1500,2026-07-20,,,,,,,,
1784519280,35.35,35.35,35.35,35.35,300,2026-07-20,,,,,,,,
1784519340,35.35,35.35,35.25,35.3,34700,2026-07-20,,,,,,,,
1784519400,35.2,35.2,35.2,35.2,100,2026-07-20,,,,,,,,
1784519460,35.25,35.25,35.25,35.25,1000,2026-07-20,,,,,,,,
1784519520,35.25,35.25,35.25,35.25,1000,2026-07-20,,,,,,,,
1784519580,35.25,35.25,35.25,35.25,7600,2026-07-20,,,,,,,,
1784519640,35.2,35.25,35.2,35.25,12400,2026-07-20,,,,,,,,
1784519700,35.15,35.2,35.15,35.2,2600,2026-07-20,,,,,,,,
1784519760,35.2,35.2,35.2,35.2,1200,2026-07-20,,,,,,,,
1784519820,35.2,35.2,35.2,35.2,4500,2026-07-20,,,,,,,,
1784519880,35.2,35.2,35.2,35.2,6000,2026-07-20,,,,,,,,
1784519940,35.2,35.2,35.2,35.2,6000,2026-07-20,,,,,,,,
1784520000,35.2,35.2,35.15,35.15,2200,2026-07-20,,,,,,,,
1784520060,35.15,35.15,35.15,35.15,12900,2026-07-20,,,,,,,,
1784520120,35.15,35.15,35.1,35.1,4500,2026-07-20,,,,,,,,
1784520180,35.05,35.05,35.05,35.05,5400,2026-07-20,,,,,,,,
1784520240,35.05,35.05,35.05,35.05,100,2026-07-20,,,,,,,,
1784520300,35.1,35.1,35.1,35.1,16400,2026-07-20,,,,,,,,
1784520360,35.1,35.1,35.05,35.1,15600,2026-07-20,,,,,,,,
1784520420,35.05,35.05,35.0,35.0,56200,2026-07-20,,,,,,,,
1784520480,35.05,35.05,35.05,35.05,2100,2026-07-20,,,,,,,,
1784520540,35.05,35.2,35.05,35.05,8900,2026-07-20,,,,,,,,
1784520600,35.05,35.05,35.0,35.0,11300,2026-07-20,,,,,,,,
1784520660,35.0,35.0,35.0,35.0,13400,2026-07-20,,,,,,,,
1784520720,34.95,34.95,34.95,34.95,4800,2026-07-20,,,,,,,,
1784520780,35.0,35.0,34.9,35.0,5700,2026-07-20,,,,,,,,
1784520840,35.0,35.0,35.0,35.0,500,2026-07-20,,,,,,,,
1784520900,35.0,35.0,34.8,34.85,14400,2026-07-20,,,,,,,,
1784520960,34.85,34.9,34.8,34.9,9500,2026-07-20,,,,,,,,
1784521020,34.9,34.9,34.9,34.9,900,2026-07-20,,,,,,,,
1784521080,35.0,35.1,35.0,35.0,1100,2026-07-20,,,,,,,,
1784521140,35.0,35.0,35.0,35.0,2000,2026-07-20,,,,,,,,
1784521200,34.95,34.95,34.9,34.95,15700,2026-07-20,,,,,,,,
1784521260,34.9,34.9,34.9,34.9,4200,2026-07-20,,,,,,,,
1784521320,34.9,34.9,34.85,34.85,3300,2026-07-20,,,,,,,,
1784521380,34.8,34.85,34.75,34.75,13800,2026-07-20,,,,,,,,
1784521440,34.75,34.75,34.75,34.75,11500,2026-07-20,,,,,,,,
1784521500,34.7,34.9,34.7,34.9,22600,2026-07-20,,,,,,,,
1784521560,34.9,34.9,34.8,34.8,12400,2026-07-20,,,,,,,,
1784521620,34.8,34.85,34.75,34.75,34900,2026-07-20,,,,,,,,
1784521680,34.75,34.75,34.7,34.75,2300,2026-07-20,,,,,,,,
1784521740,34.75,34.8,34.75,34.8,17500,2026-07-20,,,,,,,,
1784527200,34.8,34.85,34.75,34.85,8600,2026-07-20,,,,,,,,
1784527260,34.85,34.85,34.8,34.8,13700,2026-07-20,,,,,,,,
1784527320,34.8,34.8,34.75,34.8,7400,2026-07-20,,,,,,,,
1784527380,34.75,34.75,34.65,34.7,18600,2026-07-20,,,,,,,,
1784527440,34.7,34.7,34.65,34.65,5100,2026-07-20,,,,,,,,
1784527500,34.7,34.9,34.7,34.9,1900,2026-07-20,,,,,,,,
1784527560,34.9,34.9,34.9,34.9,1400,2026-07-20,,,,,,,,
1784527620,34.9,34.9,34.9,34.9,800,2026-07-20,,,,,,,,
1784527680,34.9,34.95,34.9,34.9,6200,2026-07-20,,,,,,,,
1784527740,34.9,34.95,34.9,34.95,4500,2026-07-20,,,,,,,,
1784527800,34.95,34.95,34.9,34.95,3000,2026-07-20,,,,,,,,
1784527860,34.95,34.95,34.9,34.9,2900,2026-07-20,,,,,,,,
1784527920,34.95,34.95,34.95,34.95,6100,2026-07-20,,,,,,,,
1784527980,34.95,34.95,34.95,34.95,600,2026-07-20,,,,,,,,
1784528040,35.0,35.0,34.95,34.95,13800,2026-07-20,,,,,,,,
1784528100,34.95,34.95,34.9,34.9,8300,2026-07-20,,,,,,,,
1784528160,34.9,34.9,34.9,34.9,3400,2026-07-20,,,,,,,,
1784528220,34.85,34.9,34.85,34.85,5900,2026-07-20,,,,,,,,
1784528280,34.85,34.9,34.8,34.85,5600,2026-07-20,,,,,,,,
1784528340,34.85,34.85,34.8,34.85,2500,2026-07-20,,,,,,,,
1784528400,34.85,34.85,34.85,34.85,800,2026-07-20,,,,,,,,
1784528460,34.85,34.85,34.8,34.85,8000,2026-07-20,,,,,,,,
1784528520,34.8,34.8,34.8,34.8,10000,2026-07-20,,,,,,,,
1784528580,34.8,34.85,34.8,34.8,3400,2026-07-20,,,,,,,,
1784528640,34.8,34.8,34.8,34.8,9900,2026-07-20,,,,,,,,
1784528700,34.8,34.8,34.8,34.8,3400,2026-07-20,,,,,,,,
