t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1783322880,47.2,47.2,47.2,47.2,700,2026-07-06,,,,,,,,
1783322940,47.2,47.2,47.2,47.2,15300,2026-07-06,,,,,,,,
1783323900,47.15,47.15,47.15,47.15,79800,2026-07-06,,,,,,,,
1783390500,47.15,47.15,47.15,47.15,6200,2026-07-07,,,,,,,,
1783390680,47.2,47.2,47.2,47.2,1100,2026-07-07,,,,,,,,
1783390800,47.35,47.45,47.35,47.4,2500,2026-07-07,,,,,,,,
1783390860,47.45,47.45,47.45,47.45,800,2026-07-07,,,,,,,,
1783390920,47.45,47.45,47.45,47.45,200,2026-07-07,,,,,,,,
1783390980,47.45,47.45,47.4,47.4,500,2026-07-07,,,,,,,,
1783391040,47.4,47.4,47.4,47.4,1000,2026-07-07,,,,,,,,
1783391100,47.3,47.3,47.25,47.25,500,2026-07-07,,,,,,,,
1783391160,47.3,47.3,47.25,47.25,5400,2026-07-07,,,,,,,,
1783391220,47.25,47.25,47.25,47.25,5700,2026-07-07,,,,,,,,
1783391340,47.25,47.25,47.25,47.25,500,2026-07-07,,,,,,,,
1783391400,47.25,47.25,47.25,47.25,100,2026-07-07,,,,,,,,
1783391640,47.35,47.35,47.35,47.35,100,2026-07-07,,,,,,,,
1783391700,47.35,47.35,47.3,47.3,200,2026-07-07,,,,,,,,
1783391760,47.3,47.3,47.3,47.3,700,2026-07-07,,,,,,,,
1783391880,47.3,47.3,47.25,47.25,5000,2026-07-07,,,,,,,,
1783391940,47.3,47.3,47.25,47.25,1000,2026-07-07,,,,,,,,
1783392060,47.25,47.25,47.25,47.25,200,2026-07-07,,,,,,,,
1783392120,47.25,47.25,47.25,47.25,1300,2026-07-07,,,,,,,,
1783392180,47.25,47.25,47.25,47.25,5200,2026-07-07,,,,,,,,
1783392240,47.25,47.3,47.25,47.3,1200,2026-07-07,,,,,,,,
1783392300,47.25,47.25,47.25,47.25,100,2026-07-07,,,,,,,,
1783392480,47.25,47.25,47.25,47.25,200,2026-07-07,,,,,,,,
1783392540,47.25,47.25,47.25,47.25,100,2026-07-07,,,,,,,,
1783392660,47.25,47.25,47.25,47.25,1100,2026-07-07,,,,,,,,
1783392840,47.25,47.25,47.25,47.25,100,2026-07-07,,,,,,,,
1783392960,47.25,47.25,47.25,47.25,1300,2026-07-07,,,,,,,,
1783393080,47.25,47.25,47.25,47.25,2000,2026-07-07,,,,,,,,
1783393140,47.25,47.25,47.25,47.25,700,2026-07-07,,,,,,,,
1783393200,47.3,47.3,47.25,47.3,2200,2026-07-07,,,,,,,,
1783393260,47.3,47.3,47.3,47.3,200,2026-07-07,,,,,,,,
1783393320,47.3,47.3,47.3,47.3,2000,2026-07-07,,,,,,,,
1783393380,47.35,47.35,47.35,47.35,600,2026-07-07,,,,,,,,
1783393440,47.35,47.35,47.35,47.35,800,2026-07-07,,,,,,,,
1783393620,47.35,47.35,47.35,47.35,4800,2026-07-07,,,,,,,,
1783393680,47.3,47.3,47.3,47.3,100,2026-07-07,,,,,,,,
1783393740,47.25,47.25,47.25,47.25,500,2026-07-07,,,,,,,,
1783393800,47.25,47.25,47.25,47.25,200,2026-07-07,,,,,,,,
1783393860,47.25,47.25,47.25,47.25,1200,2026-07-07,,,,,,,,
1783393980,47.3,47.3,47.25,47.25,500,2026-07-07,,,,,,,,
1783394040,47.3,47.3,47.3,47.3,800,2026-07-07,,,,,,,,
1783394460,47.3,47.3,47.3,47.3,500,2026-07-07,,,,,,,,
1783394700,47.3,47.3,47.3,47.3,6100,2026-07-07,,,,,,,,
1783394760,47.3,47.3,47.3,47.3,100,2026-07-07,,,,,,,,
1783394820,47.3,47.3,47.25,47.25,500,2026-07-07,,,,,,,,
1783394880,47.3,47.3,47.3,47.3,1400,2026-07-07,,,,,,,,
1783394940,47.3,47.3,47.3,47.3,1000,2026-07-07,,,,,,,,
1783395000,47.3,47.3,47.3,47.3,1300,2026-07-07,,,,,,,,
1783395120,47.3,47.3,47.3,47.3,100,2026-07-07,,,,,,,,
1783395360,47.3,47.3,47.3,47.3,100,2026-07-07,,,,,,,,
1783395480,47.25,47.25,47.25,47.25,12600,2026-07-07,,,,,,,,
1783395540,47.25,47.25,47.25,47.25,200,2026-07-07,,,,,,,,
1783395660,47.25,47.25,47.25,47.25,300,2026-07-07,,,,,,,,
1783395720,47.25,47.25,47.25,47.25,800,2026-07-07,,,,,,,,
