t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1784095620,12.65,12.65,12.6,12.65,123200,2026-07-15,,,,,,,,
1784095680,12.65,12.65,12.65,12.65,86500,2026-07-15,,,,,,,,
1784095740,12.65,12.65,12.6,12.65,37800,2026-07-15,,,,,,,,
1784095800,12.65,12.65,12.65,12.65,63400,2026-07-15,,,,,,,,
1784095860,12.65,12.65,12.6,12.65,130400,2026-07-15,,,,,,,,
1784095920,12.65,12.65,12.65,12.65,8100,2026-07-15,,,,,,,,
1784095980,12.65,12.7,12.6,12.65,11600,2026-07-15,,,,,,,,
1784096040,12.6,12.65,12.6,12.65,13200,2026-07-15,,,,,,,,
1784096100,12.65,12.65,12.6,12.6,111900,2026-07-15,,,,,,,,
1784096160,12.6,12.65,12.6,12.65,17600,2026-07-15,,,,,,,,
1784096220,12.65,12.65,12.6,12.65,20500,2026-07-15,,,,,,,,
1784096280,12.6,12.65,12.6,12.65,40100,2026-07-15,,,,,,,,
1784096340,12.65,12.65,12.6,12.6,215700,2026-07-15,,,,,,,,
1784096400,12.6,12.65,12.6,12.6,101400,2026-07-15,,,,,,,,
1784096460,12.6,12.65,12.6,12.6,31400,2026-07-15,,,,,,,,
1784096520,12.65,12.65,12.6,12.65,16500,2026-07-15,,,,,,,,
1784096580,12.6,12.65,12.6,12.65,9900,2026-07-15,,,,,,,,
1784096640,12.65,12.65,12.6,12.6,1800,2026-07-15,,,,,,,,
1784096700,12.6,12.65,12.6,12.6,110800,2026-07-15,,,,,,,,
1784096760,12.65,12.65,12.6,12.6,7200,2026-07-15,,,,,,,,
1784096820,12.65,12.65,12.6,12.6,700,2026-07-15,,,,,,,,
1784096880,12.6,12.65,12.6,12.6,8600,2026-07-15,,,,,,,,
1784096940,12.65,12.65,12.6,12.6,6600,2026-07-15,,,,,,,,
1784097000,12.6,12.65,12.6,12.6,8000,2026-07-15,,,,,,,,
