t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1785291300,15.4,15.5,15.4,15.5,17000,2026-07-29,,,,,,,,
1785291360,15.4,15.4,15.35,15.4,4400,2026-07-29,,,,,,,,
1785291420,15.35,15.35,15.35,15.35,3900,2026-07-29,,,,,,,,
1785291480,15.35,15.35,15.3,15.3,3500,2026-07-29,,,,,,,,
1785291540,15.3,15.3,15.3,15.3,7700,2026-07-29,,,,,,,,
1785291600,15.35,15.5,15.3,15.4,21100,2026-07-29,,,,,,,,
1785291960,15.35,15.35,15.35,15.35,800,2026-07-29,,,,,,,,
1785292020,15.35,15.35,15.35,15.35,300,2026-07-29,,,,,,,,
1785292080,15.35,15.35,15.35,15.35,11000,2026-07-29,,,,,,,,
1785292140,15.35,15.35,15.3,15.3,5400,2026-07-29,,,,,,,,
1785292200,15.3,15.4,15.3,15.35,7200,2026-07-29,,,,,,,,
1785292260,15.3,15.3,15.3,15.3,3600,2026-07-29,,,,,,,,
1785292320,15.3,15.3,15.3,15.3,7000,2026-07-29,,,,,,,,
1785292380,15.3,15.4,15.3,15.4,32200,2026-07-29,,,,,,,,
1785292440,15.3,15.3,15.3,15.3,2300,2026-07-29,,,,,,,,
1785292500,15.3,15.3,15.3,15.3,2200,2026-07-29,,,,,,,,
1785292560,15.35,15.35,15.35,15.35,4700,2026-07-29,,,,,,,,
1785292620,15.3,15.3,15.3,15.3,2600,2026-07-29,,,,,,,,
1785292920,15.35,15.35,15.35,15.35,600,2026-07-29,,,,,,,,
1785292980,15.3,15.3,15.3,15.3,1300,2026-07-29,,,,,,,,
1785293040,15.3,15.3,15.3,15.3,200,2026-07-29,,,,,,,,
1785293100,15.3,15.3,15.3,15.3,600,2026-07-29,,,,,,,,
1785293160,15.3,15.3,15.3,15.3,2000,2026-07-29,,,,,,,,
1785293220,15.3,15.3,15.3,15.3,1300,2026-07-29,,,,,,,,
1785293280,15.3,15.3,15.3,15.3,200,2026-07-29,,,,,,,,
1785293340,15.3,15.35,15.3,15.3,1200,2026-07-29,,,,,,,,
1785293400,15.35,15.35,15.3,15.3,10900,2026-07-29,,,,,,,,
1785293460,15.3,15.3,15.3,15.3,5100,2026-07-29,,,,,,,,
1785293580,15.3,15.3,15.3,15.3,7500,2026-07-29,,,,,,,,
1785293640,15.3,15.3,15.3,15.3,12800,2026-07-29,,,,,,,,
1785293700,15.3,15.3,15.25,15.25,7800,2026-07-29,,,,,,,,
1785293820,15.25,15.25,15.25,15.25,200,2026-07-29,,,,,,,,
1785293880,15.25,15.25,15.25,15.25,3300,2026-07-29,,,,,,,,
1785293940,15.3,15.3,15.25,15.25,4800,2026-07-29,,,,,,,,
1785294000,15.25,15.3,15.25,15.25,17200,2026-07-29,,,,,,,,
1785294060,15.25,15.25,15.25,15.25,6600,2026-07-29,,,,,,,,
1785294120,15.25,15.25,15.25,15.25,6600,2026-07-29,,,,,,,,
1785294180,15.25,15.25,15.2,15.25,29400,2026-07-29,,,,,,,,
1785294240,15.2,15.2,15.2,15.2,2200,2026-07-29,,,,,,,,
1785294300,15.2,15.2,15.2,15.2,2200,2026-07-29,,,,,,,,
1785294360,15.25,15.3,15.25,15.3,3100,2026-07-29,,,,,,,,
1785294540,15.25,15.25,15.25,15.25,400,2026-07-29,,,,,,,,
1785294720,15.3,15.35,15.3,15.35,48000,2026-07-29,,,,,,,,
1785294780,15.35,15.4,15.35,15.4,62400,2026-07-29,,,,,,,,
1785294840,15.35,15.35,15.3,15.35,37900,2026-07-29,,,,,,,,
1785294900,15.35,15.35,15.25,15.25,80700,2026-07-29,,,,,,,,
1785294960,15.35,15.35,15.2,15.3,48000,2026-07-29,,,,,,,,
1785295020,15.3,15.3,15.2,15.3,68800,2026-07-29,,,,,,,,
1785295080,15.3,15.35,15.2,15.25,17200,2026-07-29,,,,,,,,
1785295140,15.2,15.2,15.2,15.2,2200,2026-07-29,,,,,,,,
1785295200,15.2,15.2,15.2,15.2,2200,2026-07-29,,,,,,,,
1785295260,15.25,15.25,15.2,15.2,4500,2026-07-29,,,,,,,,
1785295320,15.2,15.25,15.2,15.2,7000,2026-07-29,,,,,,,,
1785295380,15.25,15.25,15.25,15.25,900,2026-07-29,,,,,,,,
1785295500,15.25,15.25,15.25,15.25,1000,2026-07-29,,,,,,,,
1785295620,15.25,15.25,15.25,15.25,100,2026-07-29,,,,,,,,
1785295680,15.25,15.25,15.25,15.25,500,2026-07-29,,,,,,,,
1785295740,15.25,15.3,15.25,15.3,1700,2026-07-29,,,,,,,,
1785295860,15.25,15.25,15.2,15.2,2700,2026-07-29,,,,,,,,
1785295920,15.3,15.3,15.2,15.2,200,2026-07-29,,,,,,,,
1785295980,15.2,15.2,15.2,15.2,3600,2026-07-29,,,,,,,,
1785296040,15.25,15.25,15.2,15.2,2200,2026-07-29,,,,,,,,
1785296100,15.2,15.2,15.2,15.2,3900,2026-07-29,,,,,,,,
1785296160,15.2,15.3,15.2,15.3,3000,2026-07-29,,,,,,,,
1785296340,15.25,15.25,15.25,15.25,700,2026-07-29,,,,,,,,
1785296520,15.25,15.25,15.25,15.25,200,2026-07-29,,,,,,,,
1785296640,15.2,15.2,15.2,15.2,2200,2026-07-29,,,,,,,,
1785296700,15.2,15.2,15.2,15.2,2200,2026-07-29,,,,,,,,
1785296760,15.2,15.2,15.2,15.2,2200,2026-07-29,,,,,,,,
1785296880,15.25,15.25,15.25,15.25,400,2026-07-29,,,,,,,,
1785296940,15.2,15.2,15.2,15.2,2200,2026-07-29,,,,,,,,
1785297000,15.25,15.25,15.25,15.25,1000,2026-07-29,,,,,,,,
1785297120,15.2,15.2,15.2,15.2,10500,2026-07-29,,,,,,,,
1785297180,15.15,15.15,15.15,15.15,200,2026-07-29,,,,,,,,
1785297300,15.15,15.15,15.15,15.15,9000,2026-07-29,,,,,,,,
1785297480,15.15,15.15,15.15,15.15,2600,2026-07-29,,,,,,,,
1785297600,15.15,15.15,15.15,15.15,2200,2026-07-29,,,,,,,,
1785297660,15.15,15.2,15.15,15.15,3000,2026-07-29,,,,,,,,
1785297720,15.15,15.15,15.15,15.15,600,2026-07-29,,,,,,,,
1785297780,15.15,15.15,15.15,15.15,700,2026-07-29,,,,,,,,
1785297840,15.15,15.15,15.15,15.15,600,2026-07-29,,,,,,,,
1785297900,15.15,15.15,15.15,15.15,10500,2026-07-29,,,,,,,,
1785297960,15.15,15.15,15.1,15.1,18000,2026-07-29,,,,,,,,
1785298020,15.1,15.1,15.1,15.1,1600,2026-07-29,,,,,,,,
1785298080,15.1,15.1,15.05,15.1,1800,2026-07-29,,,,,,,,
1785298140,15.1,15.1,15.1,15.1,700,2026-07-29,,,,,,,,
1785298200,15.1,15.1,15.1,15.1,800,2026-07-29,,,,,,,,
1785298260,15.1,15.1,15.0,15.0,41700,2026-07-29,,,,,,,,
1785298320,15.0,15.05,15.0,15.05,4000,2026-07-29,,,,,,,,
1785298380,15.05,15.05,15.0,15.0,2800,2026-07-29,,,,,,,,
1785298440,15.0,15.15,15.0,15.0,3100,2026-07-29,,,,,,,,
