t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1787192100,19.6,19.6,19.55,19.6,350800,2026-08-20,,,,,,,,
1787192160,19.6,19.6,19.55,19.6,62100,2026-08-20,,,,,,,,
1787192220,19.6,19.65,19.6,19.65,87400,2026-08-20,,,,,,,,
1787192280,19.7,19.7,19.65,19.7,111300,2026-08-20,,,,,,,,
1787192340,19.7,19.7,19.6,19.65,136800,2026-08-20,,,,,,,,
1787192400,19.6,19.65,19.6,19.65,87700,2026-08-20,,,,,,,,
1787192460,19.65,19.65,19.6,19.6,46400,2026-08-20,,,,,,,,
1787192520,19.65,19.65,19.6,19.65,29100,2026-08-20,,,,,,,,
1787192580,19.65,19.65,19.6,19.65,73000,2026-08-20,,,,,,,,
1787192640,19.65,19.65,19.6,19.65,34300,2026-08-20,,,,,,,,
1787192700,19.65,19.65,19.6,19.6,22600,2026-08-20,,,,,,,,
1787192760,19.6,19.6,19.6,19.6,127500,2026-08-20,,,,,,,,
1787192820,19.6,19.6,19.55,19.6,23200,2026-08-20,,,,,,,,
1787192880,19.6,19.6,19.6,19.6,16800,2026-08-20,,,,,,,,
1787192940,19.6,19.65,19.6,19.6,21200,2026-08-20,,,,,,,,
1787193000,19.65,19.65,19.6,19.65,37000,2026-08-20,,,,,,,,
1787193060,19.65,19.65,19.65,19.65,1400,2026-08-20,,,,,,,,
1787193120,19.65,19.65,19.65,19.65,36500,2026-08-20,,,,,,,,
1787193180,19.65,19.65,19.6,19.65,72300,2026-08-20,,,,,,,,
1787193240,19.65,19.7,19.65,19.7,63400,2026-08-20,,,,,,,,
1787193300,19.7,19.7,19.65,19.65,10500,2026-08-20,,,,,,,,
1787193360,19.65,19.7,19.65,19.7,10700,2026-08-20,,,,,,,,
1787193420,19.7,19.7,19.65,19.7,44000,2026-08-20,,,,,,,,
1787193480,19.65,19.7,19.65,19.7,10900,2026-08-20,,,,,,,,
1787193540,19.65,19.7,19.65,19.65,49300,2026-08-20,,,,,,,,
1787193600,19.65,19.7,19.65,19.65,33200,2026-08-20,,,,,,,,
1787193660,19.7,19.7,19.65,19.65,11100,2026-08-20,,,,,,,,
1787193720,19.65,19.7,19.65,19.65,11400,2026-08-20,,,,,,,,
1787193780,19.65,19.65,19.65,19.65,77700,2026-08-20,,,,,,,,
1787193840,19.65,19.65,19.65,19.65,82100,2026-08-20,,,,,,,,
1787193900,19.65,19.65,19.6,19.65,3900,2026-08-20,,,,,,,,
1787193960,19.65,19.65,19.6,19.65,11000,2026-08-20,,,,,,,,
1787194020,19.65,19.65,19.6,19.65,7800,2026-08-20,,,,,,,,
1787194080,19.6,19.6,19.6,19.6,5400,2026-08-20,,,,,,,,
1787194140,19.6,19.65,19.6,19.6,4600,2026-08-20,,,,,,,,
1787194200,19.6,19.65,19.6,19.65,8100,2026-08-20,,,,,,,,
1787194260,19.65,19.65,19.6,19.6,9200,2026-08-20,,,,,,,,
1787194320,19.6,19.65,19.6,19.6,70700,2026-08-20,,,,,,,,
1787194380,19.6,19.6,19.6,19.6,5900,2026-08-20,,,,,,,,
1787194440,19.6,19.65,19.6,19.65,8200,2026-08-20,,,,,,,,
1787194500,19.6,19.65,19.6,19.65,16600,2026-08-20,,,,,,,,
1787194560,19.6,19.65,19.6,19.6,6100,2026-08-20,,,,,,,,
1787194620,19.6,19.65,19.6,19.65,75700,2026-08-20,,,,,,,,
1787194680,19.65,19.65,19.6,19.65,36600,2026-08-20,,,,,,,,
1787194740,19.65,19.65,19.6,19.6,6700,2026-08-20,,,,,,,,
1787194800,19.65,19.65,19.65,19.65,2300,2026-08-20,,,,,,,,
1787194860,19.65,19.65,19.6,19.65,14400,2026-08-20,,,,,,,,
1787194920,19.65,19.65,19.6,19.65,3400,2026-08-20,,,,,,,,
1787194980,19.65,19.65,19.6,19.65,8800,2026-08-20,,,,,,,,
1787195040,19.65,19.65,19.6,19.65,11400,2026-08-20,,,,,,,,
1787195100,19.65,19.65,19.6,19.65,5700,2026-08-20,,,,,,,,
1787195160,19.6,19.6,19.6,19.6,67000,2026-08-20,,,,,,,,
1787195220,19.6,19.65,19.6,19.6,16400,2026-08-20,,,,,,,,
1787195280,19.6,19.65,19.6,19.65,6200,2026-08-20,,,,,,,,
1787195340,19.65,19.65,19.6,19.65,7400,2026-08-20,,,,,,,,
1787195400,19.65,19.65,19.6,19.65,31500,2026-08-20,,,,,,,,
1787195460,19.65,19.65,19.6,19.6,14200,2026-08-20,,,,,,,,
1787195520,19.6,19.65,19.6,19.6,4300,2026-08-20,,,,,,,,
1787195580,19.6,19.6,19.6,19.6,17500,2026-08-20,,,,,,,,
1787195640,19.6,19.6,19.6,19.6,23700,2026-08-20,,,,,,,,
1787195700,19.6,19.65,19.6,19.6,4400,2026-08-20,,,,,,,,
1787195760,19.6,19.6,19.55,19.6,185800,2026-08-20,,,,,,,,
1787195820,19.55,19.6,19.55,19.6,14800,2026-08-20,,,,,,,,
1787195880,19.6,19.6,19.55,19.6,19200,2026-08-20,,,,,,,,
1787195940,19.55,19.6,19.55,19.6,11300,2026-08-20,,,,,,,,
1787196000,19.55,19.6,19.55,19.55,37800,2026-08-20,,,,,,,,
1787196060,19.55,19.6,19.55,19.55,166200,2026-08-20,,,,,,,,
1787196120,19.55,19.6,19.55,19.55,89500,2026-08-20,,,,,,,,
1787196180,19.55,19.6,19.55,19.55,27300,2026-08-20,,,,,,,,
1787196240,19.55,19.6,19.55,19.6,19400,2026-08-20,,,,,,,,
1787196300,19.6,19.6,19.55,19.6,11400,2026-08-20,,,,,,,,
1787196360,19.6,19.6,19.55,19.55,21800,2026-08-20,,,,,,,,
1787196420,19.55,19.55,19.55,19.55,14100,2026-08-20,,,,,,,,
1787196480,19.55,19.6,19.55,19.6,49500,2026-08-20,,,,,,,,
1787196540,19.6,19.6,19.55,19.55,11800,2026-08-20,,,,,,,,
1787196600,19.55,19.55,19.55,19.55,12900,2026-08-20,,,,,,,,
1787196660,19.55,19.6,19.55,19.55,10300,2026-08-20,,,,,,,,
1787196720,19.55,19.55,19.5,19.55,92900,2026-08-20,,,,,,,,
1787196780,19.55,19.55,19.55,19.55,1600,2026-08-20,,,,,,,,
1787196840,19.55,19.55,19.55,19.55,41800,2026-08-20,,,,,,,,
1787196900,19.55,19.6,19.55,19.55,14000,2026-08-20,,,,,,,,
1787196960,19.55,19.55,19.55,19.55,44700,2026-08-20,,,,,,,,
1787197020,19.55,19.55,19.55,19.55,8000,2026-08-20,,,,,,,,
1787197080,19.55,19.6,19.55,19.55,29200,2026-08-20,,,,,,,,
1787197140,19.55,19.6,19.5,19.6,29100,2026-08-20,,,,,,,,
1787197200,19.6,19.6,19.55,19.55,48100,2026-08-20,,,,,,,,
1787197260,19.55,19.6,19.55,19.6,1800,2026-08-20,,,,,,,,
1787197320,19.55,19.55,19.55,19.55,22900,2026-08-20,,,,,,,,
1787197380,19.55,19.6,19.55,19.55,30600,2026-08-20,,,,,,,,
1787197440,19.55,19.55,19.55,19.55,41400,2026-08-20,,,,,,,,
1787197500,19.55,19.55,19.5,19.55,13200,2026-08-20,,,,,,,,
1787197560,19.55,19.55,19.55,19.55,4400,2026-08-20,,,,,,,,
1787197620,19.55,19.55,19.55,19.55,17100,2026-08-20,,,,,,,,
1787197680,19.55,19.55,19.5,19.55,21200,2026-08-20,,,,,,,,
1787197740,19.55,19.55,19.55,19.55,19500,2026-08-20,,,,,,,,
1787197800,19.55,19.6,19.55,19.55,2300,2026-08-20,,,,,,,,
1787197860,19.55,19.55,19.5,19.5,28400,2026-08-20,,,,,,,,
1787197920,19.5,19.5,19.5,19.5,3700,2026-08-20,,,,,,,,
1787197980,19.5,19.55,19.5,19.55,3500,2026-08-20,,,,,,,,
1787198040,19.55,19.55,19.5,19.5,11200,2026-08-20,,,,,,,,
1787198100,19.5,19.55,19.5,19.55,6400,2026-08-20,,,,,,,,
1787198160,19.55,19.55,19.55,19.55,1500,2026-08-20,,,,,,,,
1787198220,19.5,19.5,19.5,19.5,2600,2026-08-20,,,,,,,,
1787198280,19.5,19.55,19.5,19.55,17200,2026-08-20,,,,,,,,
1787198340,19.55,19.55,19.55,19.55,1700,2026-08-20,,,,,,,,
1787198400,19.55,19.55,19.5,19.55,2900,2026-08-20,,,,,,,,
1787198460,19.55,19.55,19.5,19.55,25900,2026-08-20,,,,,,,,
1787198520,19.55,19.55,19.55,19.55,7400,2026-08-20,,,,,,,,
1787198580,19.55,19.55,19.5,19.55,11400,2026-08-20,,,,,,,,
1787198640,19.5,19.55,19.5,19.55,62700,2026-08-20,,,,,,,,
1787198700,19.55,19.6,19.55,19.6,22100,2026-08-20,,,,,,,,
1787198760,19.6,19.6,19.55,19.6,6000,2026-08-20,,,,,,,,
1787198820,19.55,19.55,19.5,19.5,55200,2026-08-20,,,,,,,,
1787198880,19.55,19.55,19.55,19.55,900,2026-08-20,,,,,,,,
1787198940,19.55,19.55,19.55,19.55,1100,2026-08-20,,,,,,,,
1787199000,19.55,19.55,19.5,19.5,15600,2026-08-20,,,,,,,,
1787199060,19.5,19.55,19.5,19.5,3200,2026-08-20,,,,,,,,
1787199120,19.5,19.5,19.5,19.5,2400,2026-08-20,,,,,,,,
1787199180,19.5,19.55,19.5,19.5,138400,2026-08-20,,,,,,,,
1787199240,19.5,19.5,19.5,19.5,79600,2026-08-20,,,,,,,,
1787199300,19.5,19.5,19.5,19.5,5800,2026-08-20,,,,,,,,
1787199360,19.55,19.55,19.55,19.55,5100,2026-08-20,,,,,,,,
1787199420,19.55,19.55,19.5,19.55,18900,2026-08-20,,,,,,,,
1787199480,19.55,19.55,19.55,19.55,600,2026-08-20,,,,,,,,
1787199540,19.55,19.55,19.55,19.55,500,2026-08-20,,,,,,,,
1787199600,19.55,19.55,19.45,19.45,77200,2026-08-20,,,,,,,,
1787199660,19.5,19.5,19.5,19.5,1400,2026-08-20,,,,,,,,
1787199720,19.45,19.5,19.45,19.5,27700,2026-08-20,,,,,,,,
1787199780,19.5,19.5,19.5,19.5,23900,2026-08-20,,,,,,,,
1787199840,19.5,19.5,19.45,19.45,15200,2026-08-20,,,,,,,,
1787199900,19.5,19.5,19.5,19.5,15300,2026-08-20,,,,,,,,
1787199960,19.5,19.5,19.45,19.45,15200,2026-08-20,,,,,,,,
1787200020,19.45,19.5,19.45,19.5,11900,2026-08-20,,,,,,,,
1787200080,19.45,19.5,19.45,19.5,8500,2026-08-20,,,,,,,,
1787200140,19.5,19.5,19.45,19.5,17900,2026-08-20,,,,,,,,
1787205600,19.5,19.5,19.45,19.5,51200,2026-08-20,,,,,,,,
1787205660,19.5,19.5,19.45,19.5,12100,2026-08-20,,,,,,,,
1787205720,19.45,19.45,19.45,19.45,6500,2026-08-20,,,,,,,,
1787205780,19.5,19.5,19.45,19.45,82800,2026-08-20,,,,,,,,
1787205840,19.45,19.5,19.45,19.45,53500,2026-08-20,,,,,,,,
1787205900,19.45,19.5,19.45,19.5,49100,2026-08-20,,,,,,,,
1787205960,19.5,19.55,19.5,19.5,172700,2026-08-20,,,,,,,,
1787206020,19.55,19.55,19.5,19.55,53500,2026-08-20,,,,,,,,
1787206080,19.5,19.55,19.5,19.5,21800,2026-08-20,,,,,,,,
1787206140,19.5,19.55,19.5,19.55,22900,2026-08-20,,,,,,,,
1787206200,19.55,19.55,19.55,19.55,9200,2026-08-20,,,,,,,,
1787206260,19.5,19.55,19.5,19.55,21400,2026-08-20,,,,,,,,
1787206320,19.55,19.55,19.5,19.55,59000,2026-08-20,,,,,,,,
1787206380,19.55,19.55,19.5,19.55,44500,2026-08-20,,,,,,,,
1787206440,19.55,19.55,19.5,19.5,57500,2026-08-20,,,,,,,,
1787206500,19.5,19.55,19.5,19.5,58300,2026-08-20,,,,,,,,
1787206560,19.5,19.55,19.5,19.5,84700,2026-08-20,,,,,,,,
1787206620,19.5,19.55,19.5,19.5,60200,2026-08-20,,,,,,,,
1787206680,19.5,19.5,19.5,19.5,8000,2026-08-20,,,,,,,,
1787206740,19.5,19.5,19.5,19.5,13400,2026-08-20,,,,,,,,
1787206800,19.5,19.55,19.5,19.5,234600,2026-08-20,,,,,,,,
1787206860,19.5,19.5,19.5,19.5,370200,2026-08-20,,,,,,,,
1787206920,19.5,19.55,19.5,19.5,35000,2026-08-20,,,,,,,,
1787206980,19.5,19.5,19.5,19.5,46900,2026-08-20,,,,,,,,
