t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1783304100,72.3,72.6,72.3,72.5,65000,2026-07-06,,,,,,,,
1783304160,72.6,72.6,72.3,72.3,7300,2026-07-06,,,,,,,,
1783304220,72.3,72.3,72.0,72.0,18600,2026-07-06,,,,,,,,
1783304280,72.3,72.3,72.0,72.1,1000,2026-07-06,,,,,,,,
1783304340,72.2,72.2,72.2,72.2,600,2026-07-06,,,,,,,,
1783304400,72.2,72.2,72.1,72.2,13700,2026-07-06,,,,,,,,
1783304460,72.2,72.2,72.2,72.2,300,2026-07-06,,,,,,,,
1783304520,72.2,72.2,72.2,72.2,1000,2026-07-06,,,,,,,,
1783304580,72.2,72.2,72.1,72.1,8500,2026-07-06,,,,,,,,
1783304640,72.1,72.1,72.1,72.1,700,2026-07-06,,,,,,,,
1783304760,72.2,72.2,72.0,72.2,12500,2026-07-06,,,,,,,,
1783304820,72.2,72.2,72.2,72.2,500,2026-07-06,,,,,,,,
1783304880,72.2,72.2,72.2,72.2,1100,2026-07-06,,,,,,,,
1783304940,72.2,72.2,72.0,72.2,9100,2026-07-06,,,,,,,,
1783305000,72.2,72.2,72.1,72.2,1700,2026-07-06,,,,,,,,
1783305060,72.2,72.2,72.2,72.2,700,2026-07-06,,,,,,,,
1783305120,72.2,72.2,72.1,72.1,3800,2026-07-06,,,,,,,,
1783305180,72.1,72.1,72.1,72.1,1900,2026-07-06,,,,,,,,
1783305240,72.1,72.1,72.1,72.1,600,2026-07-06,,,,,,,,
1783305300,72.1,72.1,72.1,72.1,11500,2026-07-06,,,,,,,,
1783305360,72.1,72.1,72.1,72.1,600,2026-07-06,,,,,,,,
1783305420,72.1,72.1,72.0,72.0,5600,2026-07-06,,,,,,,,
1783305480,72.0,72.0,72.0,72.0,200,2026-07-06,,,,,,,,
1783305540,72.1,72.2,72.1,72.1,4200,2026-07-06,,,,,,,,
1783305600,72.0,72.1,72.0,72.1,6600,2026-07-06,,,,,,,,
1783305660,72.2,72.2,72.1,72.1,800,2026-07-06,,,,,,,,
1783305720,72.1,72.1,72.1,72.1,500,2026-07-06,,,,,,,,
1783305780,72.1,72.1,72.1,72.1,2500,2026-07-06,,,,,,,,
1783305840,72.1,72.2,72.1,72.1,3600,2026-07-06,,,,,,,,
1783305900,72.1,72.1,72.1,72.1,500,2026-07-06,,,,,,,,
1783305960,72.1,72.1,72.1,72.1,2600,2026-07-06,,,,,,,,
1783306020,72.1,72.2,72.1,72.2,700,2026-07-06,,,,,,,,
1783306080,72.2,72.2,72.2,72.2,1300,2026-07-06,,,,,,,,
1783306140,72.2,72.2,72.1,72.1,5300,2026-07-06,,,,,,,,
1783306200,72.1,72.1,72.1,72.1,5300,2026-07-06,,,,,,,,
1783306260,72.1,72.1,72.1,72.1,3200,2026-07-06,,,,,,,,
1783306320,72.1,72.1,72.0,72.0,5200,2026-07-06,,,,,,,,
1783306380,72.0,72.0,72.0,72.0,1700,2026-07-06,,,,,,,,
1783306440,72.0,72.0,72.0,72.0,1100,2026-07-06,,,,,,,,
1783306500,72.0,72.1,72.0,72.1,2700,2026-07-06,,,,,,,,
1783306560,72.1,72.1,72.1,72.1,500,2026-07-06,,,,,,,,
1783306620,72.1,72.2,72.1,72.1,3000,2026-07-06,,,,,,,,
1783306680,72.1,72.1,72.1,72.1,2500,2026-07-06,,,,,,,,
1783306740,72.1,72.1,72.0,72.0,2900,2026-07-06,,,,,,,,
1783306800,72.0,72.0,72.0,72.0,7900,2026-07-06,,,,,,,,
1783306860,72.0,72.0,72.0,72.0,1000,2026-07-06,,,,,,,,
1783306920,72.0,72.0,72.0,72.0,60400,2026-07-06,,,,,,,,
1783306980,72.0,72.0,72.0,72.0,18600,2026-07-06,,,,,,,,
1783307040,72.0,72.0,71.9,72.0,3700,2026-07-06,,,,,,,,
1783307100,71.9,71.9,71.8,71.8,37000,2026-07-06,,,,,,,,
1783307160,71.8,71.9,71.8,71.8,5600,2026-07-06,,,,,,,,
1783307220,71.9,71.9,71.8,71.8,1300,2026-07-06,,,,,,,,
1783307280,71.8,71.9,71.7,71.7,16600,2026-07-06,,,,,,,,
1783307340,71.7,71.8,71.7,71.8,3200,2026-07-06,,,,,,,,
1783307400,71.8,71.9,71.7,71.9,5500,2026-07-06,,,,,,,,
1783307460,71.9,71.9,71.9,71.9,3400,2026-07-06,,,,,,,,
1783307520,71.9,71.9,71.8,71.9,6400,2026-07-06,,,,,,,,
1783307580,72.0,72.0,71.8,71.8,6100,2026-07-06,,,,,,,,
1783307640,71.8,71.9,71.8,71.8,2600,2026-07-06,,,,,,,,
1783307700,71.9,72.0,71.8,71.8,6800,2026-07-06,,,,,,,,
1783307760,71.9,71.9,71.8,71.8,5700,2026-07-06,,,,,,,,
1783307820,71.8,71.9,71.8,71.8,2800,2026-07-06,,,,,,,,
1783307880,71.8,71.9,71.8,71.9,1800,2026-07-06,,,,,,,,
1783307940,71.9,71.9,71.8,71.8,5400,2026-07-06,,,,,,,,
1783308000,71.9,71.9,71.8,71.9,2500,2026-07-06,,,,,,,,
1783308060,71.9,71.9,71.9,71.9,900,2026-07-06,,,,,,,,
1783308120,71.9,71.9,71.9,71.9,1000,2026-07-06,,,,,,,,
1783308180,71.9,71.9,71.9,71.9,7400,2026-07-06,,,,,,,,
1783308240,71.9,72.0,71.9,71.9,3500,2026-07-06,,,,,,,,
1783308300,71.9,71.9,71.9,71.9,500,2026-07-06,,,,,,,,
1783308360,71.9,71.9,71.8,71.8,7400,2026-07-06,,,,,,,,
1783308420,71.8,71.9,71.8,71.9,1000,2026-07-06,,,,,,,,
1783308480,71.9,71.9,71.9,71.9,500,2026-07-06,,,,,,,,
1783308540,71.9,71.9,71.8,71.8,12100,2026-07-06,,,,,,,,
1783308600,71.8,71.8,71.8,71.8,900,2026-07-06,,,,,,,,
1783308660,71.8,71.9,71.8,71.9,400,2026-07-06,,,,,,,,
1783308720,71.9,71.9,71.9,71.9,2500,2026-07-06,,,,,,,,
1783308780,71.9,71.9,71.9,71.9,6900,2026-07-06,,,,,,,,
1783308840,71.9,71.9,71.9,71.9,2500,2026-07-06,,,,,,,,
1783308900,71.9,71.9,71.9,71.9,6100,2026-07-06,,,,,,,,
1783308960,71.9,71.9,71.9,71.9,5400,2026-07-06,,,,,,,,
1783309020,71.9,71.9,71.9,71.9,2900,2026-07-06,,,,,,,,
1783309080,71.9,71.9,71.9,71.9,2500,2026-07-06,,,,,,,,
1783309140,72.0,72.1,72.0,72.1,52500,2026-07-06,,,,,,,,
1783309200,72.0,72.0,72.0,72.0,2600,2026-07-06,,,,,,,,
1783309260,72.1,72.1,72.1,72.1,6300,2026-07-06,,,,,,,,
1783309320,72.1,72.2,72.0,72.0,6900,2026-07-06,,,,,,,,
1783309380,72.0,72.0,72.0,72.0,2800,2026-07-06,,,,,,,,
1783309440,72.0,72.1,72.0,72.1,600,2026-07-06,,,,,,,,
1783309500,72.1,72.1,72.1,72.1,5600,2026-07-06,,,,,,,,
1783309560,72.1,72.1,72.1,72.1,10100,2026-07-06,,,,,,,,
1783309620,72.2,72.2,72.2,72.2,13200,2026-07-06,,,,,,,,
1783309680,72.2,72.2,72.1,72.1,11000,2026-07-06,,,,,,,,
1783309740,72.1,72.1,72.1,72.1,10400,2026-07-06,,,,,,,,
1783309800,72.1,72.1,72.1,72.1,2900,2026-07-06,,,,,,,,
1783309860,72.1,72.1,72.1,72.1,2500,2026-07-06,,,,,,,,
1783309920,72.1,72.1,72.1,72.1,5800,2026-07-06,,,,,,,,
1783309980,72.1,72.1,72.1,72.1,1000,2026-07-06,,,,,,,,
1783310040,72.1,72.1,72.1,72.1,600,2026-07-06,,,,,,,,
1783310100,72.1,72.2,72.1,72.2,2600,2026-07-06,,,,,,,,
1783310160,72.2,72.2,72.2,72.2,500,2026-07-06,,,,,,,,
1783310220,72.2,72.2,72.2,72.2,300,2026-07-06,,,,,,,,
1783310280,72.2,72.2,72.1,72.1,2900,2026-07-06,,,,,,,,
1783310340,72.1,72.1,72.1,72.1,1500,2026-07-06,,,,,,,,
1783310400,72.2,72.2,72.1,72.1,4400,2026-07-06,,,,,,,,
1783310460,72.1,72.1,72.1,72.1,3100,2026-07-06,,,,,,,,
1783310520,72.1,72.1,72.1,72.1,3800,2026-07-06,,,,,,,,
1783310580,72.1,72.1,72.0,72.0,31800,2026-07-06,,,,,,,,
1783310640,72.0,72.1,72.0,72.1,11100,2026-07-06,,,,,,,,
1783310700,72.1,72.1,72.1,72.1,2200,2026-07-06,,,,,,,,
1783310760,72.1,72.1,72.1,72.1,4300,2026-07-06,,,,,,,,
1783310820,72.1,72.1,72.1,72.1,1800,2026-07-06,,,,,,,,
1783310880,72.1,72.1,72.1,72.1,3100,2026-07-06,,,,,,,,
1783310940,72.1,72.1,72.1,72.1,4600,2026-07-06,,,,,,,,
1783311000,72.1,72.1,72.1,72.1,1800,2026-07-06,,,,,,,,
1783311060,72.1,72.1,72.1,72.1,4200,2026-07-06,,,,,,,,
1783311120,72.1,72.1,72.1,72.1,4300,2026-07-06,,,,,,,,
1783311180,72.1,72.2,72.1,72.1,3000,2026-07-06,,,,,,,,
1783311240,72.1,72.1,72.1,72.1,4200,2026-07-06,,,,,,,,
1783311300,72.1,72.1,72.1,72.1,3300,2026-07-06,,,,,,,,
1783311360,72.1,72.1,72.1,72.1,1600,2026-07-06,,,,,,,,
1783311420,72.1,72.1,72.1,72.1,4400,2026-07-06,,,,,,,,
1783311480,72.1,72.1,72.1,72.1,2400,2026-07-06,,,,,,,,
1783311540,72.1,72.1,72.1,72.1,4300,2026-07-06,,,,,,,,
1783311600,72.1,72.1,72.1,72.1,7700,2026-07-06,,,,,,,,
1783311660,72.1,72.2,72.1,72.1,3600,2026-07-06,,,,,,,,
1783311720,72.1,72.1,72.1,72.1,10500,2026-07-06,,,,,,,,
1783311780,72.1,72.1,72.1,72.1,4200,2026-07-06,,,,,,,,
1783311840,72.1,72.1,72.1,72.1,1500,2026-07-06,,,,,,,,
1783311900,72.1,72.1,72.1,72.1,4300,2026-07-06,,,,,,,,
1783311960,72.1,72.1,72.1,72.1,1600,2026-07-06,,,,,,,,
1783312020,72.1,72.2,72.1,72.2,6800,2026-07-06,,,,,,,,
1783312080,72.2,72.2,72.1,72.1,3400,2026-07-06,,,,,,,,
1783312140,72.1,72.1,72.1,72.1,800,2026-07-06,,,,,,,,
1783317600,72.1,72.1,72.0,72.1,11500,2026-07-06,,,,,,,,
1783317660,72.1,72.2,72.1,72.2,3300,2026-07-06,,,,,,,,
1783317720,72.1,72.1,72.1,72.1,9700,2026-07-06,,,,,,,,
1783317780,72.1,72.2,72.1,72.2,9700,2026-07-06,,,,,,,,
1783317840,72.2,72.2,72.1,72.1,5100,2026-07-06,,,,,,,,
1783317900,72.1,72.1,72.1,72.1,8100,2026-07-06,,,,,,,,
1783317960,72.1,72.1,72.1,72.1,7900,2026-07-06,,,,,,,,
1783318020,72.1,72.2,72.1,72.1,9100,2026-07-06,,,,,,,,
1783318080,72.1,72.1,72.1,72.1,7000,2026-07-06,,,,,,,,
1783318140,72.2,72.2,72.1,72.1,4900,2026-07-06,,,,,,,,
1783318200,72.1,72.1,72.0,72.1,8400,2026-07-06,,,,,,,,
1783318260,72.0,72.1,72.0,72.0,8800,2026-07-06,,,,,,,,
1783318320,72.0,72.1,72.0,72.1,18600,2026-07-06,,,,,,,,
1783318380,72.0,72.0,72.0,72.0,9300,2026-07-06,,,,,,,,
1783318440,72.0,72.0,72.0,72.0,7300,2026-07-06,,,,,,,,
1783318500,72.0,72.0,72.0,72.0,4500,2026-07-06,,,,,,,,
1783318560,72.0,72.0,71.9,71.9,14200,2026-07-06,,,,,,,,
1783318620,71.9,71.9,71.9,71.9,7200,2026-07-06,,,,,,,,
1783318680,71.9,72.0,71.9,71.9,5500,2026-07-06,,,,,,,,
1783318740,71.9,71.9,71.8,71.9,26400,2026-07-06,,,,,,,,
1783318800,71.9,71.9,71.9,71.9,4700,2026-07-06,,,,,,,,
1783318860,71.9,71.9,71.9,71.9,7300,2026-07-06,,,,,,,,
1783318920,71.9,72.0,71.9,71.9,9300,2026-07-06,,,,,,,,
1783318980,71.9,72.0,71.9,72.0,5900,2026-07-06,,,,,,,,
1783319040,71.9,72.0,71.9,72.0,7600,2026-07-06,,,,,,,,
1783319100,71.9,71.9,71.9,71.9,11900,2026-07-06,,,,,,,,
1783319160,71.9,71.9,71.9,71.9,4700,2026-07-06,,,,,,,,
1783319220,71.9,72.0,71.9,72.0,7600,2026-07-06,,,,,,,,
1783319280,71.9,71.9,71.9,71.9,10800,2026-07-06,,,,,,,,
1783319340,71.9,72.0,71.8,71.9,61700,2026-07-06,,,,,,,,
1783319400,71.9,71.9,71.8,71.9,27100,2026-07-06,,,,,,,,
1783319460,71.9,72.0,71.9,71.9,7000,2026-07-06,,,,,,,,
1783319520,71.9,71.9,71.9,71.9,7800,2026-07-06,,,,,,,,
1783319580,71.9,72.0,71.9,71.9,9000,2026-07-06,,,,,,,,
1783319640,71.9,71.9,71.9,71.9,6600,2026-07-06,,,,,,,,
1783319700,71.9,72.0,71.9,71.9,11700,2026-07-06,,,,,,,,
1783319760,71.9,71.9,71.8,71.8,31000,2026-07-06,,,,,,,,
1783319820,71.8,71.9,71.8,71.8,11400,2026-07-06,,,,,,,,
1783319880,71.8,71.9,71.7,71.7,30900,2026-07-06,,,,,,,,
1783319940,71.8,71.8,71.7,71.7,15000,2026-07-06,,,,,,,,
1783320000,71.7,71.8,71.7,71.8,14800,2026-07-06,,,,,,,,
1783320060,71.8,71.8,71.7,71.7,24800,2026-07-06,,,,,,,,
1783320120,71.7,71.8,71.7,71.7,12500,2026-07-06,,,,,,,,
1783320180,71.7,71.8,71.6,71.6,19800,2026-07-06,,,,,,,,
1783320240,71.7,71.7,71.6,71.6,18200,2026-07-06,,,,,,,,
1783320300,71.6,71.7,71.6,71.6,32600,2026-07-06,,,,,,,,
1783320360,71.5,71.6,71.5,71.6,20600,2026-07-06,,,,,,,,
1783320420,71.6,71.6,71.4,71.4,97600,2026-07-06,,,,,,,,
1783320480,71.4,71.5,71.4,71.5,22100,2026-07-06,,,,,,,,
1783320540,71.5,71.6,71.5,71.5,45000,2026-07-06,,,,,,,,
1783320600,71.5,71.5,71.5,71.5,14500,2026-07-06,,,,,,,,
1783320660,71.5,71.5,71.5,71.5,15100,2026-07-06,,,,,,,,
1783320720,71.5,71.5,71.4,71.5,21600,2026-07-06,,,,,,,,
1783320780,71.4,71.4,71.3,71.3,21800,2026-07-06,,,,,,,,
1783320840,71.3,71.4,71.2,71.3,69800,2026-07-06,,,,,,,,
