t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1785377700,28.6,28.6,28.55,28.55,288200,2026-07-30,,,,,,,,
1785377760,28.5,28.5,28.45,28.45,93100,2026-07-30,,,,,,,,
1785377820,28.45,28.5,28.45,28.45,157200,2026-07-30,,,,,,,,
1785377880,28.45,28.5,28.4,28.45,30900,2026-07-30,,,,,,,,
1785377940,28.5,28.5,28.45,28.5,123500,2026-07-30,,,,,,,,
1785378000,28.5,28.6,28.5,28.6,387600,2026-07-30,,,,,,,,
1785378060,28.6,28.7,28.6,28.65,318200,2026-07-30,,,,,,,,
1785378120,28.6,28.65,28.6,28.65,82700,2026-07-30,,,,,,,,
1785378180,28.65,28.65,28.6,28.6,104900,2026-07-30,,,,,,,,
1785378240,28.6,28.6,28.5,28.6,83200,2026-07-30,,,,,,,,
1785378300,28.6,28.6,28.5,28.55,28900,2026-07-30,,,,,,,,
1785378360,28.55,28.6,28.5,28.55,178600,2026-07-30,,,,,,,,
1785378420,28.55,28.6,28.5,28.55,71200,2026-07-30,,,,,,,,
1785378480,28.55,28.65,28.5,28.65,143600,2026-07-30,,,,,,,,
1785378540,28.7,28.7,28.65,28.65,86500,2026-07-30,,,,,,,,
1785378600,28.7,28.7,28.65,28.65,71500,2026-07-30,,,,,,,,
1785378660,28.65,28.7,28.65,28.7,60300,2026-07-30,,,,,,,,
1785378720,28.65,28.7,28.65,28.7,7800,2026-07-30,,,,,,,,
1785378780,28.7,28.7,28.65,28.7,57500,2026-07-30,,,,,,,,
1785378840,28.7,28.8,28.7,28.8,273200,2026-07-30,,,,,,,,
1785378900,28.8,29.0,28.75,29.0,594800,2026-07-30,,,,,,,,
1785378960,28.9,29.0,28.85,28.9,237700,2026-07-30,,,,,,,,
1785379020,28.95,29.0,28.9,29.0,228000,2026-07-30,,,,,,,,
1785379080,29.0,29.05,28.95,29.0,163800,2026-07-30,,,,,,,,
1785379140,29.0,29.0,28.95,29.0,270600,2026-07-30,,,,,,,,
1785379200,29.0,29.05,29.0,29.05,182000,2026-07-30,,,,,,,,
1785379260,29.0,29.05,29.0,29.05,40600,2026-07-30,,,,,,,,
1785379320,29.05,29.1,29.05,29.1,69000,2026-07-30,,,,,,,,
1785379380,29.1,29.1,28.95,29.0,233000,2026-07-30,,,,,,,,
1785379440,29.0,29.0,28.85,28.85,67700,2026-07-30,,,,,,,,
1785379500,28.9,29.0,28.85,28.95,253600,2026-07-30,,,,,,,,
1785379560,28.95,28.95,28.9,28.9,50600,2026-07-30,,,,,,,,
1785379620,28.9,28.9,28.85,28.85,33600,2026-07-30,,,,,,,,
1785379680,28.85,28.9,28.85,28.85,71000,2026-07-30,,,,,,,,
1785379740,28.85,28.9,28.85,28.85,4900,2026-07-30,,,,,,,,
1785379800,28.85,28.9,28.85,28.85,11900,2026-07-30,,,,,,,,
1785379860,28.85,28.9,28.85,28.9,13800,2026-07-30,,,,,,,,
1785379920,28.9,28.9,28.85,28.85,12200,2026-07-30,,,,,,,,
1785379980,28.85,28.9,28.85,28.9,24800,2026-07-30,,,,,,,,
1785380040,28.85,28.9,28.85,28.9,16500,2026-07-30,,,,,,,,
1785380100,28.85,28.95,28.8,28.85,99000,2026-07-30,,,,,,,,
1785380160,28.9,28.9,28.85,28.85,20600,2026-07-30,,,,,,,,
1785380220,28.9,28.9,28.85,28.85,51700,2026-07-30,,,,,,,,
1785380280,28.9,28.9,28.85,28.85,42900,2026-07-30,,,,,,,,
1785380340,28.85,28.9,28.75,28.75,118900,2026-07-30,,,,,,,,
1785380400,28.75,28.8,28.7,28.8,101500,2026-07-30,,,,,,,,
1785380460,28.75,28.75,28.75,28.75,16300,2026-07-30,,,,,,,,
1785380520,28.75,28.8,28.75,28.75,19800,2026-07-30,,,,,,,,
1785380580,28.75,28.8,28.75,28.75,17600,2026-07-30,,,,,,,,
1785380640,28.75,28.8,28.75,28.75,6600,2026-07-30,,,,,,,,
1785380700,28.75,28.8,28.75,28.75,14500,2026-07-30,,,,,,,,
1785380760,28.75,28.8,28.75,28.75,16600,2026-07-30,,,,,,,,
1785380820,28.75,28.8,28.75,28.75,8600,2026-07-30,,,,,,,,
1785380880,28.75,28.8,28.75,28.75,4400,2026-07-30,,,,,,,,
