t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1787624100,14.6,14.65,14.6,14.65,144500,2026-08-25,,,,,,,,
1787624160,14.65,14.65,14.65,14.65,3600,2026-08-25,,,,,,,,
1787624220,14.7,14.7,14.7,14.7,2200,2026-08-25,,,,,,,,
1787624280,14.7,14.7,14.7,14.7,3200,2026-08-25,,,,,,,,
1787624340,14.65,14.65,14.65,14.65,13500,2026-08-25,,,,,,,,
1787624400,14.65,14.65,14.65,14.65,6100,2026-08-25,,,,,,,,
1787624460,14.65,14.65,14.65,14.65,500,2026-08-25,,,,,,,,
1787624520,14.65,14.65,14.65,14.65,30300,2026-08-25,,,,,,,,
1787624580,14.65,14.65,14.6,14.6,14400,2026-08-25,,,,,,,,
1787624640,14.6,14.65,14.6,14.65,75800,2026-08-25,,,,,,,,
1787624700,14.65,14.65,14.65,14.65,1000,2026-08-25,,,,,,,,
1787624760,14.65,14.65,14.65,14.65,46600,2026-08-25,,,,,,,,
1787624820,14.65,14.65,14.65,14.65,11600,2026-08-25,,,,,,,,
1787624880,14.65,14.65,14.65,14.65,500,2026-08-25,,,,,,,,
1787624940,14.65,14.65,14.65,14.65,1500,2026-08-25,,,,,,,,
1787625000,14.65,14.7,14.65,14.7,3200,2026-08-25,,,,,,,,
1787625060,14.65,14.65,14.65,14.65,11800,2026-08-25,,,,,,,,
1787625120,14.65,14.65,14.65,14.65,20200,2026-08-25,,,,,,,,
1787625180,14.65,14.7,14.65,14.65,3600,2026-08-25,,,,,,,,
1787625240,14.7,14.7,14.65,14.65,1200,2026-08-25,,,,,,,,
1787625300,14.65,14.65,14.65,14.65,10700,2026-08-25,,,,,,,,
1787625360,14.65,14.65,14.65,14.65,14900,2026-08-25,,,,,,,,
1787625420,14.65,14.65,14.65,14.65,1500,2026-08-25,,,,,,,,
1787625480,14.65,14.65,14.65,14.65,2500,2026-08-25,,,,,,,,
1787625540,14.65,14.65,14.65,14.65,5500,2026-08-25,,,,,,,,
1787625600,14.65,14.65,14.65,14.65,4700,2026-08-25,,,,,,,,
1787625660,14.65,14.65,14.65,14.65,7000,2026-08-25,,,,,,,,
1787625720,14.65,14.65,14.65,14.65,800,2026-08-25,,,,,,,,
1787625780,14.65,14.65,14.65,14.65,59900,2026-08-25,,,,,,,,
1787625840,14.65,14.65,14.65,14.65,24200,2026-08-25,,,,,,,,
1787625900,14.65,14.65,14.65,14.65,43500,2026-08-25,,,,,,,,
1787625960,14.65,14.65,14.65,14.65,100,2026-08-25,,,,,,,,
1787626020,14.65,14.65,14.65,14.65,7100,2026-08-25,,,,,,,,
1787626080,14.65,14.65,14.65,14.65,1700,2026-08-25,,,,,,,,
1787626140,14.65,14.65,14.65,14.65,10900,2026-08-25,,,,,,,,
1787626200,14.65,14.65,14.65,14.65,1600,2026-08-25,,,,,,,,
1787626260,14.65,14.7,14.65,14.7,21400,2026-08-25,,,,,,,,
1787626320,14.7,14.7,14.7,14.7,1900,2026-08-25,,,,,,,,
1787626380,14.7,14.7,14.7,14.7,500,2026-08-25,,,,,,,,
1787626440,14.65,14.65,14.65,14.65,24500,2026-08-25,,,,,,,,
1787626500,14.65,14.65,14.6,14.65,4400,2026-08-25,,,,,,,,
1787626560,14.65,14.65,14.65,14.65,1000,2026-08-25,,,,,,,,
1787626620,14.65,14.65,14.6,14.6,5200,2026-08-25,,,,,,,,
1787626680,14.6,14.6,14.6,14.6,1400,2026-08-25,,,,,,,,
1787626740,14.6,14.6,14.6,14.6,38400,2026-08-25,,,,,,,,
1787626800,14.6,14.6,14.6,14.6,27600,2026-08-25,,,,,,,,
1787626860,14.6,14.65,14.6,14.6,51100,2026-08-25,,,,,,,,
1787626980,14.6,14.6,14.6,14.6,100,2026-08-25,,,,,,,,
1787627040,14.6,14.6,14.6,14.6,16000,2026-08-25,,,,,,,,
1787627280,14.6,14.6,14.6,14.6,2500,2026-08-25,,,,,,,,
1787627340,14.6,14.65,14.6,14.65,3100,2026-08-25,,,,,,,,
1787627400,14.6,14.65,14.6,14.65,1700,2026-08-25,,,,,,,,
1787627520,14.65,14.65,14.65,14.65,2000,2026-08-25,,,,,,,,
1787627580,14.6,14.65,14.6,14.65,1000,2026-08-25,,,,,,,,
1787627640,14.65,14.65,14.65,14.65,1800,2026-08-25,,,,,,,,
1787627700,14.65,14.65,14.65,14.65,5500,2026-08-25,,,,,,,,
1787627760,14.65,14.65,14.65,14.65,3300,2026-08-25,,,,,,,,
1787627820,14.65,14.65,14.65,14.65,25300,2026-08-25,,,,,,,,
1787627880,14.65,14.65,14.65,14.65,59300,2026-08-25,,,,,,,,
1787628060,14.65,14.65,14.65,14.65,2500,2026-08-25,,,,,,,,
1787628120,14.65,14.65,14.65,14.65,22000,2026-08-25,,,,,,,,
1787628180,14.65,14.7,14.65,14.7,2200,2026-08-25,,,,,,,,
1787628300,14.7,14.7,14.65,14.65,5100,2026-08-25,,,,,,,,
1787628360,14.7,14.7,14.7,14.7,200,2026-08-25,,,,,,,,
1787628420,14.7,14.7,14.7,14.7,5300,2026-08-25,,,,,,,,
1787628480,14.65,14.7,14.65,14.7,200,2026-08-25,,,,,,,,
1787628540,14.65,14.65,14.65,14.65,20800,2026-08-25,,,,,,,,
1787628660,14.65,14.65,14.65,14.65,10400,2026-08-25,,,,,,,,
1787628720,14.65,14.65,14.65,14.65,1100,2026-08-25,,,,,,,,
1787628840,14.65,14.65,14.65,14.65,6100,2026-08-25,,,,,,,,
1787628900,14.65,14.65,14.65,14.65,4200,2026-08-25,,,,,,,,
1787628960,14.65,14.65,14.65,14.65,13700,2026-08-25,,,,,,,,
1787629020,14.65,14.7,14.65,14.7,39700,2026-08-25,,,,,,,,
1787629080,14.65,14.65,14.65,14.65,1800,2026-08-25,,,,,,,,
1787629140,14.65,14.65,14.65,14.65,2200,2026-08-25,,,,,,,,
1787629200,14.65,14.65,14.65,14.65,2900,2026-08-25,,,,,,,,
1787629260,14.65,14.65,14.65,14.65,1400,2026-08-25,,,,,,,,
1787629380,14.6,14.6,14.6,14.6,2600,2026-08-25,,,,,,,,
1787629440,14.6,14.6,14.6,14.6,100,2026-08-25,,,,,,,,
1787629620,14.65,14.65,14.65,14.65,1100,2026-08-25,,,,,,,,
1787629680,14.65,14.65,14.6,14.6,1300,2026-08-25,,,,,,,,
1787629740,14.6,14.6,14.6,14.6,11300,2026-08-25,,,,,,,,
1787629860,14.6,14.6,14.6,14.6,4000,2026-08-25,,,,,,,,
1787629920,14.65,14.65,14.65,14.65,600,2026-08-25,,,,,,,,
1787629980,14.65,14.65,14.65,14.65,100,2026-08-25,,,,,,,,
1787630040,14.65,14.65,14.65,14.65,800,2026-08-25,,,,,,,,
1787630160,14.6,14.65,14.6,14.65,2100,2026-08-25,,,,,,,,
1787630220,14.6,14.6,14.6,14.6,2400,2026-08-25,,,,,,,,
1787630280,14.6,14.6,14.6,14.6,2600,2026-08-25,,,,,,,,
1787630340,14.6,14.6,14.6,14.6,3100,2026-08-25,,,,,,,,
1787630400,14.6,14.6,14.6,14.6,12300,2026-08-25,,,,,,,,
1787630460,14.6,14.6,14.6,14.6,2000,2026-08-25,,,,,,,,
1787630520,14.6,14.6,14.6,14.6,4400,2026-08-25,,,,,,,,
1787630580,14.65,14.65,14.65,14.65,100,2026-08-25,,,,,,,,
1787630640,14.65,14.65,14.6,14.6,6300,2026-08-25,,,,,,,,
1787630760,14.6,14.6,14.6,14.6,129000,2026-08-25,,,,,,,,
1787630820,14.6,14.6,14.6,14.6,14600,2026-08-25,,,,,,,,
1787630880,14.6,14.65,14.6,14.6,11700,2026-08-25,,,,,,,,
1787630940,14.65,14.65,14.6,14.6,200,2026-08-25,,,,,,,,
1787631000,14.6,14.6,14.6,14.6,1000,2026-08-25,,,,,,,,
1787631120,14.6,14.6,14.6,14.6,9800,2026-08-25,,,,,,,,
1787631180,14.6,14.6,14.6,14.6,1500,2026-08-25,,,,,,,,
1787631300,14.6,14.6,14.6,14.6,48000,2026-08-25,,,,,,,,
1787631360,14.6,14.6,14.6,14.6,18500,2026-08-25,,,,,,,,
1787631420,14.6,14.6,14.6,14.6,200,2026-08-25,,,,,,,,
1787631480,14.6,14.6,14.6,14.6,50300,2026-08-25,,,,,,,,
1787631540,14.6,14.6,14.6,14.6,22300,2026-08-25,,,,,,,,
1787631600,14.6,14.6,14.6,14.6,8000,2026-08-25,,,,,,,,
1787631660,14.55,14.6,14.55,14.6,6500,2026-08-25,,,,,,,,
1787631720,14.6,14.6,14.6,14.6,1000,2026-08-25,,,,,,,,
1787631780,14.6,14.6,14.6,14.6,50900,2026-08-25,,,,,,,,
1787631960,14.6,14.6,14.6,14.6,10400,2026-08-25,,,,,,,,
1787632140,14.65,14.65,14.55,14.6,50300,2026-08-25,,,,,,,,
1787637600,14.55,14.65,14.55,14.6,113700,2026-08-25,,,,,,,,
1787637660,14.6,14.6,14.6,14.6,1300,2026-08-25,,,,,,,,
1787637720,14.6,14.6,14.6,14.6,4200,2026-08-25,,,,,,,,
1787637780,14.6,14.6,14.6,14.6,6700,2026-08-25,,,,,,,,
1787637840,14.6,14.6,14.55,14.6,10400,2026-08-25,,,,,,,,
1787637900,14.6,14.6,14.6,14.6,1800,2026-08-25,,,,,,,,
1787637960,14.6,14.6,14.6,14.6,4100,2026-08-25,,,,,,,,
1787638020,14.6,14.6,14.55,14.6,18800,2026-08-25,,,,,,,,
1787638080,14.6,14.6,14.6,14.6,8900,2026-08-25,,,,,,,,
1787638140,14.6,14.6,14.6,14.6,1500,2026-08-25,,,,,,,,
1787638200,14.6,14.6,14.6,14.6,3400,2026-08-25,,,,,,,,
1787638260,14.55,14.55,14.55,14.55,1400,2026-08-25,,,,,,,,
1787638320,14.55,14.6,14.55,14.6,1300,2026-08-25,,,,,,,,
1787638380,14.6,14.6,14.6,14.6,100,2026-08-25,,,,,,,,
1787638440,14.6,14.6,14.55,14.6,9300,2026-08-25,,,,,,,,
1787638500,14.6,14.6,14.55,14.55,4200,2026-08-25,,,,,,,,
1787638560,14.55,14.55,14.55,14.55,12000,2026-08-25,,,,,,,,
1787638680,14.55,14.55,14.55,14.55,11600,2026-08-25,,,,,,,,
1787638740,14.55,14.55,14.55,14.55,2900,2026-08-25,,,,,,,,
1787638800,14.55,14.55,14.55,14.55,4700,2026-08-25,,,,,,,,
1787638860,14.55,14.55,14.55,14.55,22800,2026-08-25,,,,,,,,
1787638920,14.55,14.55,14.55,14.55,16400,2026-08-25,,,,,,,,
1787638980,14.55,14.6,14.55,14.6,6700,2026-08-25,,,,,,,,
1787639040,14.55,14.55,14.55,14.55,1100,2026-08-25,,,,,,,,
1787639100,14.55,14.55,14.55,14.55,2500,2026-08-25,,,,,,,,
1787639160,14.55,14.55,14.55,14.55,200,2026-08-25,,,,,,,,
1787639220,14.55,14.6,14.55,14.55,8200,2026-08-25,,,,,,,,
1787639280,14.55,14.6,14.55,14.6,4700,2026-08-25,,,,,,,,
1787639340,14.6,14.6,14.6,14.6,900,2026-08-25,,,,,,,,
1787639400,14.6,14.6,14.6,14.6,1400,2026-08-25,,,,,,,,
1787639460,14.6,14.6,14.6,14.6,14100,2026-08-25,,,,,,,,
1787639520,14.6,14.6,14.6,14.6,11900,2026-08-25,,,,,,,,
1787639580,14.6,14.6,14.6,14.6,500,2026-08-25,,,,,,,,
1787639640,14.55,14.6,14.55,14.6,4600,2026-08-25,,,,,,,,
1787639700,14.6,14.6,14.6,14.6,1600,2026-08-25,,,,,,,,
1787639760,14.6,14.6,14.55,14.55,12300,2026-08-25,,,,,,,,
1787639820,14.6,14.6,14.55,14.55,3000,2026-08-25,,,,,,,,
1787639880,14.55,14.55,14.55,14.55,5000,2026-08-25,,,,,,,,
1787639940,14.6,14.6,14.6,14.6,1700,2026-08-25,,,,,,,,
1787640000,14.55,14.6,14.55,14.6,66200,2026-08-25,,,,,,,,
1787640060,14.6,14.6,14.6,14.6,300,2026-08-25,,,,,,,,
1787640120,14.55,14.55,14.55,14.55,44300,2026-08-25,,,,,,,,
1787640180,14.55,14.6,14.55,14.6,6500,2026-08-25,,,,,,,,
1787640240,14.6,14.6,14.55,14.6,6200,2026-08-25,,,,,,,,
1787640300,14.6,14.6,14.55,14.55,1400,2026-08-25,,,,,,,,
1787640360,14.55,14.6,14.55,14.6,3100,2026-08-25,,,,,,,,
1787640420,14.55,14.55,14.55,14.55,7900,2026-08-25,,,,,,,,
1787640480,14.6,14.6,14.55,14.55,10500,2026-08-25,,,,,,,,
1787640540,14.55,14.55,14.55,14.55,3000,2026-08-25,,,,,,,,
1787640600,14.55,14.55,14.55,14.55,5400,2026-08-25,,,,,,,,
1787640660,14.55,14.55,14.55,14.55,5400,2026-08-25,,,,,,,,
