t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1786587300,59.9,60.0,59.9,59.9,31400,2026-08-13,,,,,,,,
1786587360,59.9,59.9,59.9,59.9,2800,2026-08-13,,,,,,,,
1786587420,59.9,60.1,59.9,60.1,34100,2026-08-13,,,,,,,,
1786587480,60.1,60.1,60.1,60.1,7300,2026-08-13,,,,,,,,
1786587540,60.1,60.2,60.1,60.2,9700,2026-08-13,,,,,,,,
1786587600,60.2,60.2,60.1,60.1,12500,2026-08-13,,,,,,,,
1786587660,60.1,60.2,60.1,60.1,8600,2026-08-13,,,,,,,,
1786587720,60.1,60.3,60.1,60.2,5200,2026-08-13,,,,,,,,
1786587780,60.2,60.2,60.2,60.2,24000,2026-08-13,,,,,,,,
1786587840,60.2,60.2,60.2,60.2,5800,2026-08-13,,,,,,,,
1786587900,60.2,60.2,60.2,60.2,8700,2026-08-13,,,,,,,,
1786587960,60.2,60.2,60.2,60.2,800,2026-08-13,,,,,,,,
1786588020,60.2,60.2,60.1,60.1,3800,2026-08-13,,,,,,,,
1786588080,60.1,60.2,60.1,60.1,7300,2026-08-13,,,,,,,,
1786588140,60.1,60.2,60.1,60.2,3800,2026-08-13,,,,,,,,
1786588200,60.1,60.1,60.0,60.1,55700,2026-08-13,,,,,,,,
1786588260,60.0,60.1,60.0,60.1,600,2026-08-13,,,,,,,,
1786588320,60.1,60.1,60.1,60.1,300,2026-08-13,,,,,,,,
1786588380,60.1,60.1,60.1,60.1,100,2026-08-13,,,,,,,,
1786588440,60.1,60.1,60.0,60.1,6000,2026-08-13,,,,,,,,
1786588500,60.1,60.1,60.0,60.1,1300,2026-08-13,,,,,,,,
1786588560,60.1,60.1,60.0,60.1,18500,2026-08-13,,,,,,,,
1786588620,60.1,60.1,60.0,60.0,54400,2026-08-13,,,,,,,,
1786588680,60.0,60.0,59.9,59.9,2600,2026-08-13,,,,,,,,
1786588740,59.9,60.0,59.9,60.0,23200,2026-08-13,,,,,,,,
1786588800,60.0,60.0,59.9,59.9,9700,2026-08-13,,,,,,,,
1786588860,59.9,60.0,59.9,59.9,5700,2026-08-13,,,,,,,,
1786588920,59.9,60.1,59.9,60.1,43900,2026-08-13,,,,,,,,
1786588980,60.1,60.1,60.0,60.1,11800,2026-08-13,,,,,,,,
1786589040,60.1,60.1,60.1,60.1,64300,2026-08-13,,,,,,,,
1786589100,60.1,60.2,60.1,60.2,7000,2026-08-13,,,,,,,,
1786589160,60.2,60.3,60.2,60.2,55700,2026-08-13,,,,,,,,
1786589220,60.2,60.4,60.2,60.4,61900,2026-08-13,,,,,,,,
1786589280,60.4,60.5,60.3,60.5,101300,2026-08-13,,,,,,,,
1786589340,60.4,60.5,60.4,60.4,22700,2026-08-13,,,,,,,,
1786589400,60.3,60.4,60.3,60.4,1200,2026-08-13,,,,,,,,
1786589460,60.3,60.4,60.3,60.3,24000,2026-08-13,,,,,,,,
1786589520,60.3,60.3,60.2,60.2,23900,2026-08-13,,,,,,,,
1786589580,60.2,60.3,60.2,60.3,1400,2026-08-13,,,,,,,,
1786589640,60.2,60.3,60.2,60.3,600,2026-08-13,,,,,,,,
1786589700,60.3,60.3,60.3,60.3,3600,2026-08-13,,,,,,,,
1786589760,60.3,60.3,60.3,60.3,10000,2026-08-13,,,,,,,,
1786589820,60.3,60.3,60.2,60.2,7200,2026-08-13,,,,,,,,
1786589880,60.3,60.3,60.3,60.3,3000,2026-08-13,,,,,,,,
1786589940,60.3,60.3,60.3,60.3,35900,2026-08-13,,,,,,,,
1786590000,60.2,60.3,60.2,60.3,6400,2026-08-13,,,,,,,,
1786590060,60.3,60.4,60.2,60.4,20300,2026-08-13,,,,,,,,
1786590120,60.4,60.4,60.3,60.4,3100,2026-08-13,,,,,,,,
1786590180,60.4,60.4,60.4,60.4,5300,2026-08-13,,,,,,,,
1786590240,60.4,60.4,60.3,60.3,26400,2026-08-13,,,,,,,,
1786590300,60.3,60.4,60.3,60.3,5700,2026-08-13,,,,,,,,
1786590360,60.3,60.3,60.3,60.3,400,2026-08-13,,,,,,,,
1786590420,60.3,60.3,60.3,60.3,800,2026-08-13,,,,,,,,
1786590480,60.3,60.3,60.3,60.3,16500,2026-08-13,,,,,,,,
1786590540,60.3,60.3,60.3,60.3,13900,2026-08-13,,,,,,,,
1786590600,60.3,60.3,60.3,60.3,5000,2026-08-13,,,,,,,,
1786590660,60.3,60.3,60.2,60.2,600,2026-08-13,,,,,,,,
1786590720,60.2,60.3,60.2,60.3,1400,2026-08-13,,,,,,,,
1786590780,60.2,60.3,60.2,60.3,4000,2026-08-13,,,,,,,,
1786590840,60.3,60.3,60.2,60.2,3600,2026-08-13,,,,,,,,
1786590900,60.2,60.3,60.2,60.3,200,2026-08-13,,,,,,,,
1786590960,60.3,60.3,60.3,60.3,600,2026-08-13,,,,,,,,
1786591020,60.3,60.3,60.2,60.3,3700,2026-08-13,,,,,,,,
1786591080,60.3,60.3,60.2,60.3,20400,2026-08-13,,,,,,,,
1786591140,60.3,60.3,60.2,60.3,67600,2026-08-13,,,,,,,,
1786591200,60.3,60.3,60.2,60.2,26800,2026-08-13,,,,,,,,
1786591260,60.2,60.3,60.2,60.2,58600,2026-08-13,,,,,,,,
1786591320,60.2,60.3,60.2,60.2,3700,2026-08-13,,,,,,,,
1786591380,60.2,60.3,60.2,60.2,31200,2026-08-13,,,,,,,,
1786591440,60.2,60.3,60.2,60.2,19800,2026-08-13,,,,,,,,
1786591500,60.2,60.3,60.2,60.2,9800,2026-08-13,,,,,,,,
1786591560,60.2,60.3,60.2,60.2,5300,2026-08-13,,,,,,,,
1786591620,60.2,60.3,60.2,60.2,1600,2026-08-13,,,,,,,,
1786591680,60.2,60.3,60.2,60.3,2300,2026-08-13,,,,,,,,
1786591740,60.2,60.3,60.2,60.2,12400,2026-08-13,,,,,,,,
1786591800,60.3,60.3,60.1,60.1,17000,2026-08-13,,,,,,,,
1786591860,60.1,60.2,60.1,60.1,3000,2026-08-13,,,,,,,,
1786591920,60.1,60.2,60.1,60.2,400,2026-08-13,,,,,,,,
1786591980,60.1,60.2,60.1,60.2,38600,2026-08-13,,,,,,,,
