t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1787192100,69.6,69.8,69.6,69.7,26700,2026-08-20,,,,,,,,
1787192160,69.8,69.9,69.7,69.8,15800,2026-08-20,,,,,,,,
1787192220,69.9,70.0,69.8,69.9,18800,2026-08-20,,,,,,,,
1787192280,69.9,70.0,69.8,70.0,13800,2026-08-20,,,,,,,,
1787192340,70.0,70.0,69.9,70.0,34400,2026-08-20,,,,,,,,
1787192400,70.1,70.1,69.8,69.9,15400,2026-08-20,,,,,,,,
1787192460,69.9,69.9,69.7,69.7,6400,2026-08-20,,,,,,,,
1787192520,69.7,69.8,69.7,69.7,700,2026-08-20,,,,,,,,
1787192580,69.7,69.8,69.7,69.7,10100,2026-08-20,,,,,,,,
1787192640,69.7,69.7,69.6,69.7,4000,2026-08-20,,,,,,,,
1787192700,69.6,69.7,69.6,69.6,8600,2026-08-20,,,,,,,,
1787192760,69.5,69.5,69.4,69.4,3400,2026-08-20,,,,,,,,
1787192820,69.4,69.5,69.4,69.5,12400,2026-08-20,,,,,,,,
1787192880,69.4,69.7,69.4,69.7,14400,2026-08-20,,,,,,,,
1787192940,69.7,69.9,69.7,69.9,14100,2026-08-20,,,,,,,,
1787193000,69.9,70.0,69.9,69.9,37500,2026-08-20,,,,,,,,
1787193060,69.9,70.0,69.9,69.9,5500,2026-08-20,,,,,,,,
1787193120,70.0,70.0,69.9,70.0,34400,2026-08-20,,,,,,,,
1787193180,70.0,70.0,69.8,69.9,55600,2026-08-20,,,,,,,,
1787193240,69.9,70.0,69.8,69.9,18300,2026-08-20,,,,,,,,
1787193300,69.9,70.0,69.9,69.9,25200,2026-08-20,,,,,,,,
1787193360,69.9,70.0,69.9,69.9,16600,2026-08-20,,,,,,,,
1787193420,69.9,70.0,69.8,69.9,11600,2026-08-20,,,,,,,,
1787193480,70.0,70.0,69.9,70.0,10100,2026-08-20,,,,,,,,
1787193540,69.9,70.0,69.9,69.9,11100,2026-08-20,,,,,,,,
1787193600,70.0,70.0,69.9,69.9,5200,2026-08-20,,,,,,,,
1787193660,70.0,70.0,69.9,70.0,23000,2026-08-20,,,,,,,,
1787193720,69.9,70.0,69.9,70.0,159900,2026-08-20,,,,,,,,
1787193780,70.0,70.3,70.0,70.3,146600,2026-08-20,,,,,,,,
1787193840,70.3,70.5,70.3,70.4,37200,2026-08-20,,,,,,,,
1787193900,70.4,70.4,70.2,70.3,20700,2026-08-20,,,,,,,,
1787193960,70.4,70.4,70.3,70.4,21300,2026-08-20,,,,,,,,
1787194020,70.3,70.4,70.3,70.3,7700,2026-08-20,,,,,,,,
