t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1783563300,16.15,16.2,16.15,16.2,77400,2026-07-09,,,,,,,,
1783563360,16.2,16.2,16.2,16.2,5800,2026-07-09,,,,,,,,
1783563420,16.2,16.2,16.2,16.2,17300,2026-07-09,,,,,,,,
1783563480,16.2,16.25,16.2,16.2,7100,2026-07-09,,,,,,,,
1783563540,16.2,16.2,16.2,16.2,1600,2026-07-09,,,,,,,,
1783563600,16.2,16.2,16.2,16.2,7000,2026-07-09,,,,,,,,
1783563660,16.2,16.2,16.2,16.2,7000,2026-07-09,,,,,,,,
1783563720,16.2,16.2,16.15,16.2,28100,2026-07-09,,,,,,,,
1783563780,16.2,16.2,16.2,16.2,25100,2026-07-09,,,,,,,,
1783563840,16.2,16.2,16.2,16.2,100,2026-07-09,,,,,,,,
1783563900,16.2,16.25,16.2,16.2,22500,2026-07-09,,,,,,,,
1783563960,16.2,16.25,16.2,16.25,5300,2026-07-09,,,,,,,,
1783564020,16.25,16.25,16.2,16.25,4400,2026-07-09,,,,,,,,
1783564080,16.25,16.25,16.25,16.25,2300,2026-07-09,,,,,,,,
1783564140,16.25,16.25,16.2,16.2,2000,2026-07-09,,,,,,,,
1783564200,16.25,16.25,16.2,16.2,1100,2026-07-09,,,,,,,,
1783564260,16.2,16.25,16.2,16.25,139400,2026-07-09,,,,,,,,
1783564380,16.2,16.25,16.2,16.25,400,2026-07-09,,,,,,,,
1783564440,16.25,16.25,16.2,16.2,8200,2026-07-09,,,,,,,,
1783564500,16.2,16.25,16.2,16.2,10900,2026-07-09,,,,,,,,
1783564560,16.2,16.25,16.2,16.2,1100,2026-07-09,,,,,,,,
1783564620,16.25,16.25,16.25,16.25,2800,2026-07-09,,,,,,,,
1783564680,16.25,16.25,16.2,16.25,1800,2026-07-09,,,,,,,,
1783564740,16.25,16.25,16.25,16.25,100,2026-07-09,,,,,,,,
1783564800,16.2,16.2,16.2,16.2,6000,2026-07-09,,,,,,,,
1783564860,16.25,16.25,16.25,16.25,12600,2026-07-09,,,,,,,,
1783564920,16.25,16.25,16.25,16.25,1700,2026-07-09,,,,,,,,
1783565040,16.25,16.25,16.25,16.25,500,2026-07-09,,,,,,,,
1783565100,16.2,16.2,16.2,16.2,19000,2026-07-09,,,,,,,,
1783565160,16.2,16.25,16.2,16.2,12300,2026-07-09,,,,,,,,
1783565220,16.2,16.2,16.2,16.2,1000,2026-07-09,,,,,,,,
1783565280,16.2,16.2,16.2,16.2,39500,2026-07-09,,,,,,,,
1783565340,16.2,16.2,16.2,16.2,15000,2026-07-09,,,,,,,,
1783565400,16.2,16.2,16.2,16.2,27500,2026-07-09,,,,,,,,
1783565460,16.2,16.2,16.15,16.15,1300,2026-07-09,,,,,,,,
1783565520,16.15,16.2,16.15,16.2,600,2026-07-09,,,,,,,,
