t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1785723300,216.2,216.3,215.0,215.5,38000,2026-08-03,,,,,,,,
1785723360,215.5,215.5,214.6,214.9,22200,2026-08-03,,,,,,,,
1785723420,214.8,214.9,214.6,214.8,7100,2026-08-03,,,,,,,,
1785723480,214.8,215.0,214.6,214.6,14800,2026-08-03,,,,,,,,
1785723540,214.6,214.7,214.0,214.1,38500,2026-08-03,,,,,,,,
1785723600,214.2,214.2,214.0,214.0,13100,2026-08-03,,,,,,,,
1785723660,214.2,214.3,213.5,213.8,18400,2026-08-03,,,,,,,,
1785723720,213.4,213.6,212.6,213.1,8000,2026-08-03,,,,,,,,
1785723780,213.4,213.8,213.4,213.5,26600,2026-08-03,,,,,,,,
1785723840,213.9,213.9,213.6,213.6,6500,2026-08-03,,,,,,,,
1785723900,213.6,213.7,213.4,213.7,7900,2026-08-03,,,,,,,,
1785723960,213.7,213.8,213.5,213.5,7500,2026-08-03,,,,,,,,
1785724020,213.5,213.5,212.8,213.0,20500,2026-08-03,,,,,,,,
1785724080,213.0,213.0,212.6,212.6,19800,2026-08-03,,,,,,,,
1785724140,212.6,212.7,212.5,212.7,3600,2026-08-03,,,,,,,,
1785724200,212.7,212.7,212.0,212.3,27900,2026-08-03,,,,,,,,
1785724260,212.2,212.6,212.2,212.6,11500,2026-08-03,,,,,,,,
1785724320,212.6,212.8,212.5,212.6,9100,2026-08-03,,,,,,,,
1785724380,212.6,212.8,212.3,212.3,10100,2026-08-03,,,,,,,,
1785724440,212.4,212.4,212.2,212.2,8200,2026-08-03,,,,,,,,
1785724500,212.4,212.4,212.1,212.4,4900,2026-08-03,,,,,,,,
1785724560,212.4,213.0,212.2,212.6,10200,2026-08-03,,,,,,,,
1785724620,213.0,213.0,212.7,213.0,8400,2026-08-03,,,,,,,,
1785724680,213.0,213.3,213.0,213.2,7500,2026-08-03,,,,,,,,
1785724740,213.3,213.4,213.0,213.2,8000,2026-08-03,,,,,,,,
