t,open,high,low,close,volume,date_vn
1784095620,1926.35,1927.31,1925.92,1926.63,687000,2026-07-15
1784095680,1927.1,1927.1,1925.89,1926.06,642892,2026-07-15
1784095740,1926.18,1927.11,1926.05,1926.05,450060,2026-07-15
1784095800,1926.3,1927.13,1926.19,1926.19,323694,2026-07-15
1784095860,1926.44,1926.64,1925.39,1925.39,419750,2026-07-15
1784095920,1925.82,1926.24,1925.45,1925.61,399441,2026-07-15
1784095980,1926.14,1926.33,1925.56,1926.33,617723,2026-07-15
1784096040,1926.16,1926.35,1924.81,1925.44,405675,2026-07-15
1784096100,1925.23,1925.88,1924.83,1925.28,791174,2026-07-15
1784096160,1925.25,1925.34,1924.73,1925.16,587105,2026-07-15
1784096220,1925.54,1925.54,1924.15,1924.91,706128,2026-07-15
1784096280,1924.99,1924.99,1923.44,1923.64,540933,2026-07-15
1784096340,1924.42,1924.42,1923.08,1923.14,1045863,2026-07-15
1784096400,1923.64,1923.64,1922.7,1922.89,1088322,2026-07-15
1784096460,1923.43,1923.5,1922.4,1922.82,559202,2026-07-15
1784096520,1922.27,1923.36,1922.11,1922.45,825518,2026-07-15
1784096580,1922.76,1923.84,1922.22,1923.5,777657,2026-07-15
1784096640,1924.08,1924.25,1923.22,1923.22,804527,2026-07-15
1784096700,1923.13,1924.21,1922.94,1923.34,726191,2026-07-15
1784096760,1923.45,1924.49,1922.71,1924.49,757949,2026-07-15
1784096820,1923.0,1923.78,1922.42,1923.78,717421,2026-07-15
1784096880,1922.96,1923.75,1922.38,1923.75,667872,2026-07-15
1784096940,1922.46,1923.75,1922.46,1923.34,928734,2026-07-15
1784097000,1923.52,1923.52,1921.62,1921.62,795895,2026-07-15
1784097060,1922.27,1922.27,1920.95,1921.07,922148,2026-07-15
1784097120,1920.83,1921.59,1920.83,1921.34,685705,2026-07-15
1784097180,1921.4,1922.36,1921.08,1921.94,1083911,2026-07-15
1784097240,1922.31,1922.31,1920.42,1920.42,3622199,2026-07-15
1784097300,1921.3,1921.72,1920.18,1920.18,2129875,2026-07-15
1784097360,1920.54,1921.45,1919.94,1920.89,1045083,2026-07-15
1784097420,1920.7,1921.93,1920.7,1921.49,1259330,2026-07-15
1784097480,1921.41,1922.49,1921.41,1922.34,668786,2026-07-15
