t,open,high,low,close,volume,date_vn
1785132000,1681.86,1682.45,1680.63,1680.77,6658757,2026-07-27
1785132060,1680.92,1683.14,1680.91,1682.67,2041246,2026-07-27
1785132120,1683.79,1684.09,1683.18,1684.09,1797870,2026-07-27
1785132180,1684.14,1686.26,1684.01,1685.98,2764632,2026-07-27
1785132240,1686.22,1686.75,1685.95,1686.15,2490769,2026-07-27
1785132300,1686.25,1686.71,1686.15,1686.57,2204840,2026-07-27
1785132360,1686.57,1687.05,1686.37,1686.85,2488172,2026-07-27
1785132420,1686.83,1687.38,1686.83,1687.15,1302323,2026-07-27
1785132480,1687.09,1687.8,1687.09,1687.72,1711851,2026-07-27
1785132540,1687.67,1688.18,1687.67,1688.02,1671077,2026-07-27
1785132600,1688.24,1688.39,1687.39,1687.39,1826992,2026-07-27
1785132660,1687.35,1687.86,1687.31,1687.84,2367430,2026-07-27
1785132720,1687.64,1688.26,1687.64,1687.71,1478847,2026-07-27
1785132780,1687.75,1688.15,1687.21,1687.42,1622572,2026-07-27
1785132840,1687.46,1687.46,1686.14,1686.86,1628329,2026-07-27
1785132900,1686.75,1686.97,1686.1,1686.96,2340839,2026-07-27
1785132960,1686.43,1686.75,1686.18,1686.75,1636228,2026-07-27
1785133020,1686.86,1686.86,1685.75,1685.75,2189920,2026-07-27
1785133080,1685.84,1686.05,1685.29,1685.4,2267126,2026-07-27
1785133140,1685.67,1685.97,1684.92,1685.08,2864032,2026-07-27
1785133200,1685.47,1685.47,1683.84,1683.84,4097934,2026-07-27
1785133260,1684.05,1684.05,1683.24,1683.6,4090258,2026-07-27
1785133320,1683.49,1683.8,1683.32,1683.32,2398817,2026-07-27
1785133380,1683.29,1683.8,1683.29,1683.34,1735668,2026-07-27
1785133440,1683.25,1683.27,1682.55,1682.55,1205086,2026-07-27
1785133500,1682.69,1682.93,1682.17,1682.56,1556363,2026-07-27
1785133560,1682.68,1683.28,1682.4,1683.0,1993749,2026-07-27
1785133620,1683.11,1683.43,1682.83,1683.41,2337778,2026-07-27
1785133680,1683.04,1683.89,1682.99,1683.69,2623683,2026-07-27
1785133740,1683.81,1683.98,1683.46,1683.72,1766259,2026-07-27
1785133800,1683.72,1684.04,1683.65,1683.72,1494437,2026-07-27
1785133860,1683.88,1683.88,1682.89,1682.98,1674786,2026-07-27
1785133920,1683.0,1683.33,1682.78,1683.33,2317865,2026-07-27
1785133980,1683.61,1683.67,1682.72,1683.42,3840633,2026-07-27
