t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1783304100,55.0,55.1,55.0,55.1,17900,2026-07-06,,,,,,,,
1783304160,55.1,55.1,55.1,55.1,12100,2026-07-06,,,,,,,,
1783304220,55.1,55.1,55.1,55.1,400,2026-07-06,,,,,,,,
1783304280,55.2,55.2,55.1,55.1,3800,2026-07-06,,,,,,,,
1783304340,55.2,55.2,55.1,55.2,12200,2026-07-06,,,,,,,,
1783304400,55.2,55.3,55.2,55.2,10200,2026-07-06,,,,,,,,
1783304460,55.3,55.3,55.2,55.3,10800,2026-07-06,,,,,,,,
1783304520,55.4,55.4,55.3,55.3,7200,2026-07-06,,,,,,,,
1783304580,55.3,55.3,55.3,55.3,4100,2026-07-06,,,,,,,,
1783304640,55.3,55.3,55.3,55.3,1100,2026-07-06,,,,,,,,
1783304700,55.3,55.3,55.2,55.2,16600,2026-07-06,,,,,,,,
1783304760,55.2,55.2,55.1,55.2,15800,2026-07-06,,,,,,,,
1783304820,55.1,55.2,55.1,55.2,1800,2026-07-06,,,,,,,,
1783304880,55.2,55.2,55.1,55.1,300,2026-07-06,,,,,,,,
1783304940,55.1,55.2,55.1,55.2,2100,2026-07-06,,,,,,,,
1783305000,55.1,55.2,55.1,55.2,17200,2026-07-06,,,,,,,,
1783305060,55.2,55.2,55.2,55.2,2000,2026-07-06,,,,,,,,
1783305120,55.3,55.3,55.3,55.3,1200,2026-07-06,,,,,,,,
1783305180,55.2,55.2,55.2,55.2,100,2026-07-06,,,,,,,,
1783305240,55.2,55.3,55.2,55.3,3100,2026-07-06,,,,,,,,
1783305300,55.3,55.3,55.3,55.3,4600,2026-07-06,,,,,,,,
1783305360,55.3,55.3,55.3,55.3,11400,2026-07-06,,,,,,,,
1783305420,55.3,55.3,55.3,55.3,3400,2026-07-06,,,,,,,,
1783305480,55.3,55.4,55.3,55.4,8500,2026-07-06,,,,,,,,
1783305540,55.4,55.4,55.3,55.3,2800,2026-07-06,,,,,,,,
1783305600,55.3,55.3,55.3,55.3,6300,2026-07-06,,,,,,,,
1783305660,55.3,55.3,55.3,55.3,4100,2026-07-06,,,,,,,,
1783305720,55.3,55.3,55.2,55.3,900,2026-07-06,,,,,,,,
1783305780,55.3,55.3,55.2,55.3,4000,2026-07-06,,,,,,,,
1783305900,55.2,55.2,55.2,55.2,20400,2026-07-06,,,,,,,,
1783305960,55.2,55.3,55.2,55.2,26600,2026-07-06,,,,,,,,
1783306020,55.2,55.2,55.1,55.1,23000,2026-07-06,,,,,,,,
1783306080,55.1,55.1,55.0,55.0,20400,2026-07-06,,,,,,,,
1783306140,55.1,55.2,55.0,55.0,23800,2026-07-06,,,,,,,,
1783306200,55.0,55.1,55.0,55.0,25100,2026-07-06,,,,,,,,
1783306260,55.0,55.0,55.0,55.0,25900,2026-07-06,,,,,,,,
1783306320,55.0,55.0,54.9,55.0,21100,2026-07-06,,,,,,,,
1783306380,55.0,55.0,54.9,55.0,21700,2026-07-06,,,,,,,,
1783306440,55.0,55.0,54.9,54.9,21600,2026-07-06,,,,,,,,
