t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1785896100,25.6,25.7,25.6,25.7,90900,2026-08-05,,,,,,,,
1785896160,25.7,25.75,25.65,25.75,66600,2026-08-05,,,,,,,,
1785896220,25.75,25.8,25.75,25.75,53100,2026-08-05,,,,,,,,
1785896280,25.75,25.8,25.75,25.75,16200,2026-08-05,,,,,,,,
1785896340,25.75,25.8,25.75,25.75,24700,2026-08-05,,,,,,,,
1785896400,25.75,25.8,25.75,25.75,70200,2026-08-05,,,,,,,,
1785896460,25.8,25.8,25.7,25.75,27000,2026-08-05,,,,,,,,
1785896520,25.7,25.75,25.7,25.7,61400,2026-08-05,,,,,,,,
1785896580,25.75,25.75,25.7,25.7,28600,2026-08-05,,,,,,,,
1785896640,25.7,25.75,25.7,25.7,56100,2026-08-05,,,,,,,,
1785896700,25.7,25.75,25.7,25.7,13500,2026-08-05,,,,,,,,
1785896760,25.7,25.75,25.7,25.7,32000,2026-08-05,,,,,,,,
1785896820,25.75,25.75,25.7,25.75,28800,2026-08-05,,,,,,,,
1785896880,25.7,25.75,25.7,25.7,13000,2026-08-05,,,,,,,,
1785896940,25.75,25.75,25.7,25.7,60400,2026-08-05,,,,,,,,
1785897000,25.7,25.75,25.7,25.7,61300,2026-08-05,,,,,,,,
1785897060,25.7,25.75,25.65,25.7,9700,2026-08-05,,,,,,,,
1785897120,25.7,25.75,25.65,25.75,28400,2026-08-05,,,,,,,,
1785897180,25.75,25.75,25.7,25.75,20500,2026-08-05,,,,,,,,
1785897240,25.7,25.75,25.65,25.65,174100,2026-08-05,,,,,,,,
1785897300,25.65,25.7,25.65,25.65,32100,2026-08-05,,,,,,,,
1785897360,25.65,25.75,25.65,25.65,38600,2026-08-05,,,,,,,,
1785897420,25.65,25.75,25.65,25.7,16300,2026-08-05,,,,,,,,
1785897480,25.7,25.75,25.65,25.65,10800,2026-08-05,,,,,,,,
1785897540,25.65,25.7,25.65,25.65,13400,2026-08-05,,,,,,,,
1785897600,25.65,25.7,25.65,25.65,31300,2026-08-05,,,,,,,,
1785897660,25.65,25.7,25.65,25.65,14600,2026-08-05,,,,,,,,
1785897720,25.65,25.7,25.65,25.7,62200,2026-08-05,,,,,,,,
1785897780,25.65,25.7,25.65,25.65,15600,2026-08-05,,,,,,,,
1785897840,25.65,25.7,25.65,25.65,12300,2026-08-05,,,,,,,,
1785897900,25.65,25.7,25.65,25.65,10600,2026-08-05,,,,,,,,
1785897960,25.65,25.7,25.65,25.65,22600,2026-08-05,,,,,,,,
1785898020,25.65,25.7,25.65,25.65,21200,2026-08-05,,,,,,,,
1785898080,25.65,25.7,25.65,25.65,113600,2026-08-05,,,,,,,,
1785898140,25.65,25.7,25.65,25.65,17100,2026-08-05,,,,,,,,
1785898200,25.65,25.65,25.6,25.6,251400,2026-08-05,,,,,,,,
1785898260,25.6,25.7,25.6,25.65,130200,2026-08-05,,,,,,,,
1785898320,25.65,25.7,25.65,25.65,16700,2026-08-05,,,,,,,,
1785898380,25.65,25.7,25.65,25.65,13400,2026-08-05,,,,,,,,
1785898440,25.65,25.7,25.65,25.65,80000,2026-08-05,,,,,,,,
1785898500,25.7,25.7,25.65,25.7,29700,2026-08-05,,,,,,,,
1785898560,25.65,25.7,25.65,25.7,45800,2026-08-05,,,,,,,,
1785898620,25.65,25.7,25.65,25.7,31100,2026-08-05,,,,,,,,
1785898680,25.65,25.7,25.65,25.65,9500,2026-08-05,,,,,,,,
1785898740,25.65,25.7,25.65,25.65,26600,2026-08-05,,,,,,,,
1785898800,25.65,25.7,25.65,25.65,43300,2026-08-05,,,,,,,,
1785898860,25.7,25.7,25.65,25.65,36000,2026-08-05,,,,,,,,
1785898920,25.7,25.7,25.65,25.65,16700,2026-08-05,,,,,,,,
1785898980,25.65,25.7,25.65,25.7,15400,2026-08-05,,,,,,,,
1785899040,25.7,25.7,25.65,25.65,12000,2026-08-05,,,,,,,,
1785899100,25.65,25.7,25.65,25.65,15800,2026-08-05,,,,,,,,
1785899160,25.65,25.7,25.65,25.65,24200,2026-08-05,,,,,,,,
1785899220,25.7,25.7,25.65,25.65,24400,2026-08-05,,,,,,,,
1785899280,25.65,25.7,25.65,25.7,110600,2026-08-05,,,,,,,,
1785899340,25.7,25.75,25.7,25.7,17900,2026-08-05,,,,,,,,
1785899400,25.75,25.75,25.7,25.7,32900,2026-08-05,,,,,,,,
1785899460,25.7,25.75,25.7,25.75,51500,2026-08-05,,,,,,,,
1785899520,25.7,25.8,25.7,25.75,85800,2026-08-05,,,,,,,,
1785899580,25.75,25.85,25.75,25.85,502900,2026-08-05,,,,,,,,
1785899640,25.85,25.9,25.8,25.9,142900,2026-08-05,,,,,,,,
1785899700,25.85,25.9,25.85,25.85,173000,2026-08-05,,,,,,,,
1785899760,25.85,25.9,25.85,25.85,72900,2026-08-05,,,,,,,,
1785899820,25.9,26.0,25.85,26.0,339100,2026-08-05,,,,,,,,
1785899880,26.0,26.0,25.95,25.95,156300,2026-08-05,,,,,,,,
1785899940,26.0,26.0,25.9,25.95,195400,2026-08-05,,,,,,,,
1785900000,25.9,25.95,25.9,25.9,102800,2026-08-05,,,,,,,,
1785900060,25.9,25.9,25.85,25.85,68200,2026-08-05,,,,,,,,
1785900120,25.85,25.85,25.8,25.8,23300,2026-08-05,,,,,,,,
1785900180,25.85,25.85,25.8,25.8,12000,2026-08-05,,,,,,,,
