t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1784613600,76.2,76.3,76.1,76.3,8800,2026-07-21,,,,,,,,
1784613660,76.2,76.3,76.2,76.2,6700,2026-07-21,,,,,,,,
1784613720,76.1,76.3,76.0,76.0,3300,2026-07-21,,,,,,,,
1784613780,76.1,76.1,76.0,76.0,1300,2026-07-21,,,,,,,,
1784613840,76.0,76.0,76.0,76.0,1900,2026-07-21,,,,,,,,
1784613900,75.9,75.9,75.9,75.9,3100,2026-07-21,,,,,,,,
1784613960,75.9,76.1,75.9,75.9,3600,2026-07-21,,,,,,,,
1784614020,75.9,75.9,75.9,75.9,600,2026-07-21,,,,,,,,
1784614080,76.1,76.1,76.1,76.1,1200,2026-07-21,,,,,,,,
1784614140,76.1,76.1,76.0,76.0,300,2026-07-21,,,,,,,,
1784614200,76.0,76.2,76.0,76.2,1600,2026-07-21,,,,,,,,
1784614260,76.0,76.0,76.0,76.0,500,2026-07-21,,,,,,,,
1784614320,76.0,76.2,76.0,76.0,1600,2026-07-21,,,,,,,,
1784614440,76.2,76.2,76.0,76.0,1100,2026-07-21,,,,,,,,
1784614500,76.0,76.0,76.0,76.0,1800,2026-07-21,,,,,,,,
1784614560,76.0,76.2,76.0,76.2,1100,2026-07-21,,,,,,,,
1784614620,76.0,76.0,76.0,76.0,1400,2026-07-21,,,,,,,,
1784614680,75.9,76.0,75.9,76.0,1100,2026-07-21,,,,,,,,
1784614740,75.9,76.0,75.9,76.0,600,2026-07-21,,,,,,,,
1784614800,76.0,76.2,76.0,76.2,2000,2026-07-21,,,,,,,,
1784614860,75.9,76.0,75.8,75.8,15900,2026-07-21,,,,,,,,
1784614920,75.9,76.0,75.8,75.9,86300,2026-07-21,,,,,,,,
1784614980,75.9,75.9,75.5,75.9,63200,2026-07-21,,,,,,,,
1784615040,75.9,76.2,75.9,76.2,3200,2026-07-21,,,,,,,,
1784615100,76.0,76.0,76.0,76.0,1700,2026-07-21,,,,,,,,
1784615160,75.9,76.0,75.9,76.0,2600,2026-07-21,,,,,,,,
1784615220,75.7,75.7,75.7,75.7,1000,2026-07-21,,,,,,,,
1784615280,75.7,76.0,75.7,76.0,1100,2026-07-21,,,,,,,,
1784615340,76.0,76.0,76.0,76.0,100,2026-07-21,,,,,,,,
1784615400,75.7,76.0,75.5,75.7,31100,2026-07-21,,,,,,,,
1784615460,75.8,75.9,75.6,75.9,61900,2026-07-21,,,,,,,,
1784615520,75.8,76.0,75.8,76.0,2800,2026-07-21,,,,,,,,
1784615580,75.8,75.8,75.8,75.8,1300,2026-07-21,,,,,,,,
1784615640,75.8,76.0,75.8,76.0,1100,2026-07-21,,,,,,,,
1784615700,75.8,75.8,75.8,75.8,100,2026-07-21,,,,,,,,
1784615760,76.0,76.0,76.0,76.0,1900,2026-07-21,,,,,,,,
1784615820,76.0,76.0,75.8,75.8,1900,2026-07-21,,,,,,,,
1784615880,75.9,76.0,75.9,76.0,1700,2026-07-21,,,,,,,,
1784615940,76.0,76.1,75.9,75.9,5300,2026-07-21,,,,,,,,
1784616000,75.9,76.1,75.9,75.9,6400,2026-07-21,,,,,,,,
1784616060,76.1,76.1,76.0,76.1,19000,2026-07-21,,,,,,,,
1784616120,76.1,76.1,76.0,76.0,2200,2026-07-21,,,,,,,,
1784616180,75.9,76.0,75.9,76.0,1500,2026-07-21,,,,,,,,
1784616240,75.9,76.0,75.9,76.0,1600,2026-07-21,,,,,,,,
1784616360,76.0,76.0,75.9,76.0,1900,2026-07-21,,,,,,,,
1784616420,75.9,75.9,75.9,75.9,100,2026-07-21,,,,,,,,
1784616480,76.0,76.0,76.0,76.0,1000,2026-07-21,,,,,,,,
1784616540,75.9,75.9,75.9,75.9,4200,2026-07-21,,,,,,,,
1784616600,75.9,76.0,75.9,76.0,1200,2026-07-21,,,,,,,,
1784616660,75.9,75.9,75.8,75.9,20500,2026-07-21,,,,,,,,
1784616720,75.9,76.0,75.8,76.0,2400,2026-07-21,,,,,,,,
1784616780,76.0,76.0,75.9,75.9,1900,2026-07-21,,,,,,,,
1784616840,75.9,76.0,75.9,76.0,1700,2026-07-21,,,,,,,,
1784616900,75.9,75.9,75.8,75.8,1600,2026-07-21,,,,,,,,
1784616960,75.9,76.0,75.9,76.0,1600,2026-07-21,,,,,,,,
1784617080,76.0,76.0,75.8,75.8,2400,2026-07-21,,,,,,,,
1784617140,75.8,75.8,75.8,75.8,500,2026-07-21,,,,,,,,
1784617200,76.0,76.0,76.0,76.0,1000,2026-07-21,,,,,,,,
1784617320,75.9,76.0,75.9,76.0,1000,2026-07-21,,,,,,,,
1784617380,75.8,75.8,75.7,75.7,1500,2026-07-21,,,,,,,,
1784617440,75.9,76.0,75.8,76.0,2100,2026-07-21,,,,,,,,
