t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1785132000,21.8,21.85,21.8,21.8,9200,2026-07-27,,,,,,,,
1785132060,21.8,21.9,21.8,21.9,13700,2026-07-27,,,,,,,,
1785132120,21.8,21.8,21.8,21.8,700,2026-07-27,,,,,,,,
1785132180,21.8,21.9,21.8,21.9,24300,2026-07-27,,,,,,,,
1785132240,21.9,21.9,21.8,21.8,4700,2026-07-27,,,,,,,,
1785132300,21.8,21.9,21.8,21.9,500,2026-07-27,,,,,,,,
1785132360,21.85,21.85,21.85,21.85,100,2026-07-27,,,,,,,,
1785132420,21.85,21.95,21.85,21.95,45300,2026-07-27,,,,,,,,
1785132480,21.95,21.95,21.95,21.95,2100,2026-07-27,,,,,,,,
1785132540,21.95,22.0,21.95,22.0,14000,2026-07-27,,,,,,,,
1785132600,21.95,22.0,21.95,21.95,1500,2026-07-27,,,,,,,,
1785132660,21.95,22.0,21.95,21.95,7100,2026-07-27,,,,,,,,
1785132720,21.95,22.0,21.95,22.0,3200,2026-07-27,,,,,,,,
1785132780,21.95,21.95,21.95,21.95,7800,2026-07-27,,,,,,,,
1785132840,21.95,21.95,21.9,21.9,2400,2026-07-27,,,,,,,,
1785132900,21.9,21.9,21.9,21.9,300,2026-07-27,,,,,,,,
1785132960,21.9,21.9,21.9,21.9,12000,2026-07-27,,,,,,,,
1785133020,21.85,21.85,21.85,21.85,600,2026-07-27,,,,,,,,
1785133080,21.85,21.85,21.8,21.8,2900,2026-07-27,,,,,,,,
1785133140,21.8,21.85,21.8,21.85,1500,2026-07-27,,,,,,,,
1785133200,21.8,21.8,21.8,21.8,16000,2026-07-27,,,,,,,,
1785133260,21.8,21.8,21.75,21.8,56100,2026-07-27,,,,,,,,
1785133320,21.75,21.8,21.75,21.75,4200,2026-07-27,,,,,,,,
1785133380,21.75,21.8,21.75,21.8,8500,2026-07-27,,,,,,,,
1785133440,21.75,21.85,21.75,21.8,4800,2026-07-27,,,,,,,,
1785133500,21.8,21.8,21.75,21.75,6000,2026-07-27,,,,,,,,
1785133560,21.75,21.85,21.75,21.8,1200,2026-07-27,,,,,,,,
1785133620,21.8,21.8,21.75,21.8,2300,2026-07-27,,,,,,,,
1785133680,21.75,21.85,21.75,21.85,4300,2026-07-27,,,,,,,,
1785133740,21.8,21.8,21.8,21.8,1700,2026-07-27,,,,,,,,
1785133800,21.8,21.85,21.8,21.8,3900,2026-07-27,,,,,,,,
1785133860,21.8,21.8,21.8,21.8,1000,2026-07-27,,,,,,,,
1785133920,21.8,21.8,21.8,21.8,1000,2026-07-27,,,,,,,,
1785133980,21.8,21.8,21.75,21.75,26100,2026-07-27,,,,,,,,
1785134040,21.75,21.8,21.75,21.75,1100,2026-07-27,,,,,,,,
1785134100,21.75,21.75,21.75,21.75,1500,2026-07-27,,,,,,,,
1785134160,21.75,21.8,21.75,21.75,5600,2026-07-27,,,,,,,,
1785134220,21.75,21.8,21.75,21.75,900,2026-07-27,,,,,,,,
1785134280,21.75,21.8,21.75,21.75,1600,2026-07-27,,,,,,,,
1785134340,21.75,21.8,21.75,21.75,1300,2026-07-27,,,,,,,,
1785134400,21.75,21.85,21.75,21.75,22500,2026-07-27,,,,,,,,
1785134460,21.8,21.85,21.8,21.8,2300,2026-07-27,,,,,,,,
1785134520,21.8,21.8,21.8,21.8,600,2026-07-27,,,,,,,,
1785134580,21.8,21.8,21.8,21.8,1800,2026-07-27,,,,,,,,
1785134640,21.8,21.8,21.75,21.75,14600,2026-07-27,,,,,,,,
1785134700,21.75,21.75,21.7,21.7,40800,2026-07-27,,,,,,,,
1785134760,21.7,21.75,21.7,21.75,1900,2026-07-27,,,,,,,,
1785134820,21.7,21.75,21.7,21.75,9900,2026-07-27,,,,,,,,
1785134880,21.75,21.8,21.75,21.75,7600,2026-07-27,,,,,,,,
1785134940,21.75,21.8,21.75,21.8,10000,2026-07-27,,,,,,,,
1785135000,21.8,21.9,21.75,21.85,29300,2026-07-27,,,,,,,,
1785135060,21.85,21.85,21.8,21.85,7500,2026-07-27,,,,,,,,
1785135120,21.8,21.85,21.8,21.85,2500,2026-07-27,,,,,,,,
1785135180,21.85,21.85,21.8,21.85,15300,2026-07-27,,,,,,,,
1785135240,21.8,21.85,21.8,21.8,12400,2026-07-27,,,,,,,,
1785135300,21.8,21.85,21.8,21.8,1800,2026-07-27,,,,,,,,
1785135360,21.8,21.8,21.8,21.8,2200,2026-07-27,,,,,,,,
1785135420,21.8,21.85,21.8,21.8,3900,2026-07-27,,,,,,,,
1785135480,21.85,21.9,21.8,21.9,47200,2026-07-27,,,,,,,,
1785135540,21.9,21.9,21.85,21.9,17100,2026-07-27,,,,,,,,
1785135600,21.85,21.9,21.85,21.9,12300,2026-07-27,,,,,,,,
1785135660,21.85,21.9,21.85,21.85,10800,2026-07-27,,,,,,,,
1785135720,21.85,21.9,21.85,21.85,4800,2026-07-27,,,,,,,,
1785135780,21.85,21.9,21.85,21.85,12400,2026-07-27,,,,,,,,
1785135840,21.9,21.9,21.85,21.9,13600,2026-07-27,,,,,,,,
1785135900,21.9,21.95,21.9,21.9,30500,2026-07-27,,,,,,,,
1785135960,21.9,21.95,21.9,21.9,11100,2026-07-27,,,,,,,,
1785136020,21.9,21.9,21.9,21.9,14500,2026-07-27,,,,,,,,
1785136080,21.9,21.95,21.85,21.85,12600,2026-07-27,,,,,,,,
1785136140,21.85,21.95,21.85,21.9,4300,2026-07-27,,,,,,,,
1785136200,21.9,22.0,21.9,21.95,16300,2026-07-27,,,,,,,,
1785136260,21.95,21.95,21.9,21.9,3200,2026-07-27,,,,,,,,
1785136320,21.95,21.95,21.85,21.9,35500,2026-07-27,,,,,,,,
1785136380,21.9,21.9,21.85,21.85,27800,2026-07-27,,,,,,,,
1785136440,21.85,21.9,21.85,21.85,9600,2026-07-27,,,,,,,,
1785136500,21.85,21.9,21.85,21.85,21600,2026-07-27,,,,,,,,
1785136560,21.85,21.85,21.85,21.85,12200,2026-07-27,,,,,,,,
1785136620,21.85,21.9,21.85,21.85,42000,2026-07-27,,,,,,,,
1785136680,21.85,21.85,21.85,21.85,33300,2026-07-27,,,,,,,,
1785136740,21.85,21.85,21.8,21.8,29300,2026-07-27,,,,,,,,
1785136800,21.8,21.8,21.75,21.75,37400,2026-07-27,,,,,,,,
1785136860,21.75,21.8,21.7,21.7,102300,2026-07-27,,,,,,,,
1785136920,21.7,21.75,21.65,21.65,47400,2026-07-27,,,,,,,,
1785136980,21.65,21.7,21.65,21.65,3700,2026-07-27,,,,,,,,
1785137040,21.65,21.7,21.65,21.7,10700,2026-07-27,,,,,,,,
1785137100,21.7,21.7,21.7,21.7,2900,2026-07-27,,,,,,,,
1785137160,21.7,21.7,21.6,21.6,71600,2026-07-27,,,,,,,,
1785137220,21.6,21.65,21.5,21.5,149900,2026-07-27,,,,,,,,
1785137280,21.5,21.55,21.4,21.4,85100,2026-07-27,,,,,,,,
1785137340,21.5,21.55,21.4,21.5,20400,2026-07-27,,,,,,,,
1785138300,21.35,21.35,21.35,21.35,638200,2026-07-27,,,,,,,,
1785204900,21.25,21.3,21.0,21.0,111700,2026-07-28,,,,,,,,
1785204960,21.05,21.05,21.0,21.0,8900,2026-07-28,,,,,,,,
1785205020,21.0,21.0,20.9,21.0,22100,2026-07-28,,,,,,,,
1785205080,21.0,21.0,20.95,21.0,9500,2026-07-28,,,,,,,,
1785205140,21.0,21.05,21.0,21.05,37100,2026-07-28,,,,,,,,
1785205200,21.05,21.1,21.0,21.05,47700,2026-07-28,,,,,,,,
