Scope,Ticker,SnapshotTimeBucket,FeatureSet,Model,Rows,UsedFeatureCount,CloseMAEPct,HighMAEPct,LowMAEPct,RangeMAEPct,CloseDirHitPct,SelectionScore
ACB,ACB,AM_EARLY,price_volume_core,ridge,228,81.0,0.8198728439473593,0.7167102217740046,0.5759962174219581,0.8805272229432268,53.50877192982456,0.8095756074362283
ACB,ACB,AM_LATE,price_volume_core,hist_gbm,304,81.0,0.6720718157465984,0.4727920520285006,0.4460203146103749,0.5467043469251259,42.43421052631579,0.652966822805555
ACB,ACB,PM_EARLY,price_volume_core,hist_gbm,226,81.0,0.5848963824069319,0.4032426244831833,0.3297492810319047,0.43481673700615886,48.23008849557522,0.4608555931722246
ACB,ACB,PM_LATE,range_micro_volume,ridge,228,67.0,0.5044833167572698,0.3619098135659146,0.2910001376962618,0.45151637050732885,44.29824561403509,0.5314083377721406
ALL,ALL,AM_EARLY,price_volume_core,ridge,6533,81.0,1.202632332451227,0.9115634400549419,0.7479047583274693,0.9010662565029445,50.95668146333997,1.5381544096689534
ALL,ALL,AM_LATE,price_volume_core,hist_gbm,8523,81.0,0.996029168767663,0.7012478605751529,0.6193491852865557,0.6835988960584557,53.760413000117325,1.1518112213549259
ALL,ALL,PM_EARLY,price_volume_core,hist_gbm,6697,81.0,0.8387020537443538,0.6023782929845122,0.4845257520617013,0.5842335987800761,51.76944900701807,0.9190713714833881
ALL,ALL,PM_LATE,range_micro_volume,ridge,6668,67.0,0.6598152419354069,0.4852010469430283,0.4151418423660372,0.5819864738056472,44.64607078584283,0.7614707087101673
BID,BID,AM_EARLY,price_volume_core,ridge,226,81.0,0.983209710728628,0.8829544208436205,0.5892744940169039,0.8659758129765117,53.53982300884957,1.1261233278823168
BID,BID,AM_LATE,price_volume_core,hist_gbm,296,81.0,0.7772193170741518,0.5631263682783993,0.5363289965627207,0.6108797459307085,52.702702702702695,0.7739978133013872
BID,BID,PM_EARLY,price_volume_core,hist_gbm,228,81.0,0.6396536316761717,0.5060375428332402,0.42582733768425557,0.5137128359665399,47.368421052631575,0.5980714351622947
BID,BID,PM_LATE,range_micro_volume,ridge,228,67.0,0.4902512086024079,0.40056119592920003,0.2991651866307284,0.42682444632019906,41.228070175438596,0.47238805645330334
BSR,BSR,AM_EARLY,price_volume_core,ridge,228,81.0,2.2536197073302016,1.4513595756275048,1.392179821618399,1.4698153172292237,58.77192982456141,3.53403880311508
BSR,BSR,AM_LATE,price_volume_core,hist_gbm,301,81.0,1.7819533065900115,1.2185447860935534,1.0525859117868832,1.2053229951692115,59.136212624584715,2.626308552957713
BSR,BSR,PM_EARLY,price_volume_core,hist_gbm,228,81.0,1.4412352287468224,1.1439554317901395,0.8965910081700051,1.056214180413892,55.26315789473685,2.1345669629292763
BSR,BSR,PM_LATE,range_micro_volume,ridge,228,67.0,1.0696560688160714,0.758770695666601,0.6991813015221432,0.9377709405883363,49.122807017543856,1.3539607677859185
CTG,CTG,AM_EARLY,price_volume_core,ridge,228,81.0,0.7419334328922376,0.7504092446197485,0.536061890264633,0.878211045903158,49.56140350877193,0.7799528131027611
CTG,CTG,AM_LATE,price_volume_core,hist_gbm,302,81.0,0.588618758252323,0.48360398193631376,0.44737346476004897,0.5793840149884414,46.35761589403973,0.5528380356022351
CTG,CTG,PM_EARLY,price_volume_core,hist_gbm,228,81.0,0.5167383356391618,0.41012732025489873,0.3610478487631297,0.45730750077397075,42.54385964912281,0.43359762928713924
CTG,CTG,PM_LATE,range_micro_volume,ridge,228,67.0,0.4296087993749084,0.32972813574652754,0.24420051760950706,0.37868789633634603,35.526315789473685,0.4328999462702767
FPT,FPT,AM_EARLY,price_volume_core,ridge,228,81.0,0.9285126777596165,0.8954196005287767,0.5317127116528856,0.9357788739353005,56.14035087719298,1.0315917938493921
FPT,FPT,AM_LATE,price_volume_core,hist_gbm,304,81.0,0.7246192639322976,0.6113677658314436,0.4125905319548042,0.6448506782170899,59.210526315789465,0.6301604045924998
FPT,FPT,PM_EARLY,price_volume_core,hist_gbm,228,81.0,0.682035229256075,0.5243718779058539,0.36708434610898055,0.5233631742133301,50.877192982456144,0.6089644406027734
FPT,FPT,PM_LATE,range_micro_volume,ridge,228,67.0,0.5137718153550247,0.3630946706783487,0.2502745856271923,0.37474606985231806,41.228070175438596,0.4252113392749211
GAS,GAS,AM_EARLY,price_volume_core,ridge,219,81.0,1.7763173948232531,1.2404843483650712,1.0886952687362859,1.0593414872137419,63.4703196347032,2.4686917958223225
GAS,GAS,AM_LATE,price_volume_core,hist_gbm,282,81.0,1.418347464054943,0.9287406965667097,0.8924523695204728,0.8889638615002758,65.24822695035462,1.8085257611180494
GAS,GAS,PM_EARLY,price_volume_core,hist_gbm,225,81.0,1.2154955627644728,0.9093846494310502,0.7105479749243169,0.8248398927213806,57.333333333333336,1.6131446878932825
GAS,GAS,PM_LATE,range_micro_volume,ridge,226,67.0,0.7910824926931201,0.6608648062836576,0.5238177554821601,0.7372495126505653,50.88495575221239,0.8603980681804859
GVR,GVR,AM_EARLY,price_volume_core,ridge,219,81.0,1.6687936599026556,1.1699245739955062,0.9520328413472543,0.9607565233234205,53.88127853881278,2.3652065450980793
GVR,GVR,AM_LATE,price_volume_core,hist_gbm,274,81.0,1.4826566271307182,1.0140984167889213,0.8359195470102999,0.8210347799855179,56.934306569343065,1.9552825232613409
GVR,GVR,PM_EARLY,price_volume_core,hist_gbm,226,81.0,1.1756952389662572,0.8699902071574692,0.5744016686366554,0.7274298759936458,53.09734513274337,1.5461800646933366
