FeatureSet,Model,Objective,SelectionScore,HoldoutRows,HoldoutCloseMAEPct,HoldoutDirectionHitPct,HoldoutPredDownPct,WalkbackRows,WalkbackCloseMAEPct,WalkbackDirectionHitPct,WalkbackPredDownPct
engineered_all,hist_gbm_close_ret,price,5.043783624460364,5,4.0989119104636735,20.0,20.0,80,4.467490611419113,63.74999999999999,37.5
index_expiry_exvin,hist_gbm_close_ret,price,5.268156338910218,5,4.377484800022938,20.0,20.0,80,4.3662043968208035,67.5,38.75
baseline_ohlc,hist_gbm_close_ret,price,6.6137802527787395,5,5.347261836350137,0.0,0.0,80,4.582909761224579,67.5,41.25
index_expiry_exvin,rf_compact_close_ret,price,6.8627412877538765,5,5.4803542485257335,0.0,0.0,80,4.806820112080408,60.0,16.25
engineered_all,rf_compact_close_ret,price,7.049722427125382,5,5.66623050573195,0.0,0.0,80,4.845691203981235,62.5,16.25
baseline_ohlc,rf_compact_close_ret,price,7.96339850300612,5,6.47502316037648,0.0,0.0,80,5.127500978941829,61.25000000000001,20.0
baseline_ohlc,ridge_close_ret,price,9.993446210520068,5,8.497495536824225,0.0,0.0,80,5.202716210559549,65.0,53.75
index_expiry_exvin,ridge_close_ret,price,15.263015566874872,5,13.417759690033938,0.0,0.0,80,5.9685882195455315,48.75,45.0
engineered_all,ridge_close_ret,price,16.602246314438506,5,14.718860695805065,0.0,0.0,80,6.041816053238405,46.25,45.0
baseline_ohlc,logit_direction,direction,32.6875,5,,80.0,80.0,80,,63.74999999999999,50.0
engineered_all,hist_gbm_direction,direction,70.5,5,,40.0,40.0,80,,70.0,46.25
index_expiry_exvin,hist_gbm_direction,direction,71.8125,5,,40.0,40.0,80,,66.25,42.5
baseline_ohlc,hist_gbm_direction,direction,90.5,5,,20.0,20.0,80,,70.0,41.25
engineered_all,rf_compact_direction,direction,91.375,5,,20.0,20.0,80,,67.5,36.25
engineered_all,logit_direction,direction,97.0625,5,,20.0,20.0,80,,51.24999999999999,47.5
index_expiry_exvin,logit_direction,direction,97.9375,5,,20.0,20.0,80,,48.75,47.5
baseline_ohlc,rf_compact_direction,direction,110.5,5,,0.0,0.0,80,,70.0,43.75
index_expiry_exvin,rf_compact_direction,direction,112.6875,5,,0.0,0.0,80,,63.74999999999999,35.0
