FeatureSet,Feature,Source
baseline_ohlc,TickerGapPct,baseline_ohlc
baseline_ohlc,TickerBodyPct,baseline_ohlc
baseline_ohlc,TickerRangePct,baseline_ohlc
baseline_ohlc,TickerUpperWickPct,baseline_ohlc
baseline_ohlc,TickerLowerWickPct,baseline_ohlc
baseline_ohlc,TickerRet1Pct,baseline_ohlc
baseline_ohlc,TickerRet5Pct,baseline_ohlc
baseline_ohlc,TickerRet20Pct,baseline_ohlc
baseline_ohlc,TickerDistSMA20Pct,baseline_ohlc
baseline_ohlc,TickerDistSMA50Pct,baseline_ohlc
baseline_ohlc,TickerRangePos20,baseline_ohlc
baseline_ohlc,TickerRangePos60,baseline_ohlc
baseline_ohlc,TickerVolRatio20,baseline_ohlc
baseline_ohlc,TickerVolatility10,baseline_ohlc
baseline_ohlc,TickerColorStreakState,baseline_ohlc
baseline_ohlc,TickerLimitProxyState,baseline_ohlc
baseline_ohlc,TickerShockState1D,baseline_ohlc
baseline_ohlc,TickerImpulseState3D,baseline_ohlc
baseline_ohlc,TickerWideRangeState,baseline_ohlc
baseline_ohlc,TickerTrendRegimeState,baseline_ohlc
baseline_ohlc,TickerCompressionState,baseline_ohlc
baseline_ohlc,TickerReclaimState,baseline_ohlc
baseline_ohlc,TickerRelativeRotationState,baseline_ohlc
baseline_ohlc,TickerExhaustionState,baseline_ohlc
baseline_ohlc,TickerDistPriorHigh20Pct,baseline_ohlc
baseline_ohlc,TickerGapToPriorHigh20Pct,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh20State,baseline_ohlc
baseline_ohlc,TickerBreakoutClose20State,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh20Age,baseline_ohlc
baseline_ohlc,TickerDistPriorHigh60Pct,baseline_ohlc
baseline_ohlc,TickerGapToPriorHigh60Pct,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh60State,baseline_ohlc
baseline_ohlc,TickerBreakoutClose60State,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh60Age,baseline_ohlc
baseline_ohlc,TickerDistPriorHigh120Pct,baseline_ohlc
baseline_ohlc,TickerGapToPriorHigh120Pct,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh120State,baseline_ohlc
baseline_ohlc,TickerBreakoutClose120State,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh120Age,baseline_ohlc
baseline_ohlc,TickerDistPriorHigh252Pct,baseline_ohlc
baseline_ohlc,TickerGapToPriorHigh252Pct,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh252State,baseline_ohlc
baseline_ohlc,TickerBreakoutClose252State,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh252Age,baseline_ohlc
baseline_ohlc,TickerWeekToDateRetPct,baseline_ohlc
baseline_ohlc,TickerWeekToDateRangePct,baseline_ohlc
baseline_ohlc,TickerWeekToDateVolumePctPrevWeek,baseline_ohlc
baseline_ohlc,TickerDistPrevWeekHighPct,baseline_ohlc
baseline_ohlc,TickerDistPrevWeekLowPct,baseline_ohlc
baseline_ohlc,TickerPrevWeekRetPct,baseline_ohlc
baseline_ohlc,TickerPrevWeekRangePct,baseline_ohlc
baseline_ohlc,TickerPrevWeekVolRatio4,baseline_ohlc
baseline_ohlc,Rel5Pct,baseline_ohlc
baseline_ohlc,Rel20Pct,baseline_ohlc
baseline_ohlc,Rel5PctVsVN30,baseline_ohlc
baseline_ohlc,RelWeekToDateRetPct,baseline_ohlc
baseline_ohlc,RelPrevWeekRetPct,baseline_ohlc
baseline_ohlc,Corr20,baseline_ohlc
baseline_ohlc,Beta20,baseline_ohlc
baseline_ohlc,IndexGapPct,baseline_ohlc
baseline_ohlc,IndexBodyPct,baseline_ohlc
baseline_ohlc,IndexRangePct,baseline_ohlc
baseline_ohlc,IndexRet1Pct,baseline_ohlc
baseline_ohlc,IndexRet5Pct,baseline_ohlc
baseline_ohlc,IndexRet20Pct,baseline_ohlc
baseline_ohlc,IndexDistSMA20Pct,baseline_ohlc
baseline_ohlc,IndexDistSMA50Pct,baseline_ohlc
baseline_ohlc,IndexRangePos20,baseline_ohlc
baseline_ohlc,IndexRangePos60,baseline_ohlc
baseline_ohlc,IndexVolRatio20,baseline_ohlc
baseline_ohlc,IndexVolatility10,baseline_ohlc
baseline_ohlc,IndexColorStreakState,baseline_ohlc
baseline_ohlc,IndexWeekToDateRetPct,baseline_ohlc
baseline_ohlc,IndexWeekToDateRangePct,baseline_ohlc
baseline_ohlc,IndexWeekToDateVolumePctPrevWeek,baseline_ohlc
baseline_ohlc,IndexDistPrevWeekHighPct,baseline_ohlc
baseline_ohlc,IndexDistPrevWeekLowPct,baseline_ohlc
baseline_ohlc,IndexPrevWeekRetPct,baseline_ohlc
baseline_ohlc,IndexPrevWeekRangePct,baseline_ohlc
baseline_ohlc,IndexPrevWeekVolRatio4,baseline_ohlc
baseline_ohlc,VN30Ret1Pct,baseline_ohlc
baseline_ohlc,VN30Ret5Pct,baseline_ohlc
baseline_ohlc,VN30Ret20Pct,baseline_ohlc
baseline_ohlc,VN30DistSMA20Pct,baseline_ohlc
baseline_ohlc,VN30RangePos20,baseline_ohlc
baseline_ohlc,VN30VolRatio20,baseline_ohlc
baseline_ohlc,VN30ColorStreakState,baseline_ohlc
baseline_ohlc,Corr20VN30,baseline_ohlc
baseline_ohlc,Beta20VN30,baseline_ohlc
baseline_ohlc,TickerRet1Pct_Lag1,baseline_ohlc
baseline_ohlc,TickerRet1Pct_Lag2,baseline_ohlc
baseline_ohlc,TickerRet1Pct_Lag3,baseline_ohlc
baseline_ohlc,TickerRangePct_Lag1,baseline_ohlc
baseline_ohlc,TickerRangePct_Lag2,baseline_ohlc
baseline_ohlc,TickerRangePct_Lag3,baseline_ohlc
baseline_ohlc,TickerVolRatio20_Lag1,baseline_ohlc
baseline_ohlc,TickerVolRatio20_Lag2,baseline_ohlc
baseline_ohlc,TickerVolRatio20_Lag3,baseline_ohlc
baseline_ohlc,TickerColorStreakState_Lag1,baseline_ohlc
baseline_ohlc,TickerColorStreakState_Lag2,baseline_ohlc
baseline_ohlc,TickerColorStreakState_Lag3,baseline_ohlc
baseline_ohlc,TickerLimitProxyState_Lag1,baseline_ohlc
baseline_ohlc,TickerLimitProxyState_Lag2,baseline_ohlc
baseline_ohlc,TickerLimitProxyState_Lag3,baseline_ohlc
baseline_ohlc,TickerShockState1D_Lag1,baseline_ohlc
baseline_ohlc,TickerShockState1D_Lag2,baseline_ohlc
baseline_ohlc,TickerShockState1D_Lag3,baseline_ohlc
baseline_ohlc,TickerImpulseState3D_Lag1,baseline_ohlc
baseline_ohlc,TickerImpulseState3D_Lag2,baseline_ohlc
baseline_ohlc,TickerImpulseState3D_Lag3,baseline_ohlc
baseline_ohlc,TickerWideRangeState_Lag1,baseline_ohlc
baseline_ohlc,TickerWideRangeState_Lag2,baseline_ohlc
baseline_ohlc,TickerWideRangeState_Lag3,baseline_ohlc
baseline_ohlc,TickerTrendRegimeState_Lag1,baseline_ohlc
baseline_ohlc,TickerTrendRegimeState_Lag2,baseline_ohlc
baseline_ohlc,TickerTrendRegimeState_Lag3,baseline_ohlc
baseline_ohlc,TickerCompressionState_Lag1,baseline_ohlc
baseline_ohlc,TickerCompressionState_Lag2,baseline_ohlc
baseline_ohlc,TickerCompressionState_Lag3,baseline_ohlc
baseline_ohlc,TickerReclaimState_Lag1,baseline_ohlc
baseline_ohlc,TickerReclaimState_Lag2,baseline_ohlc
baseline_ohlc,TickerReclaimState_Lag3,baseline_ohlc
baseline_ohlc,TickerRelativeRotationState_Lag1,baseline_ohlc
baseline_ohlc,TickerRelativeRotationState_Lag2,baseline_ohlc
baseline_ohlc,TickerRelativeRotationState_Lag3,baseline_ohlc
baseline_ohlc,TickerExhaustionState_Lag1,baseline_ohlc
baseline_ohlc,TickerExhaustionState_Lag2,baseline_ohlc
baseline_ohlc,TickerExhaustionState_Lag3,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh20State_Lag1,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh20State_Lag2,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh20State_Lag3,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh60State_Lag1,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh60State_Lag2,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh60State_Lag3,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh120State_Lag1,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh120State_Lag2,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh120State_Lag3,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh252State_Lag1,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh252State_Lag2,baseline_ohlc
baseline_ohlc,TickerBreakoutHigh252State_Lag3,baseline_ohlc
baseline_ohlc,Rel5Pct_Lag1,baseline_ohlc
baseline_ohlc,Rel5Pct_Lag2,baseline_ohlc
baseline_ohlc,Rel5Pct_Lag3,baseline_ohlc
baseline_ohlc,Rel5PctVsVN30_Lag1,baseline_ohlc
baseline_ohlc,Rel5PctVsVN30_Lag2,baseline_ohlc
baseline_ohlc,Rel5PctVsVN30_Lag3,baseline_ohlc
baseline_ohlc,IndexRet1Pct_Lag1,baseline_ohlc
baseline_ohlc,IndexRet1Pct_Lag2,baseline_ohlc
baseline_ohlc,IndexRet1Pct_Lag3,baseline_ohlc
baseline_ohlc,IndexRangePct_Lag1,baseline_ohlc
baseline_ohlc,IndexRangePct_Lag2,baseline_ohlc
baseline_ohlc,IndexRangePct_Lag3,baseline_ohlc
baseline_ohlc,IndexColorStreakState_Lag1,baseline_ohlc
baseline_ohlc,IndexColorStreakState_Lag2,baseline_ohlc
baseline_ohlc,IndexColorStreakState_Lag3,baseline_ohlc
baseline_ohlc,VN30Ret1Pct_Lag1,baseline_ohlc
baseline_ohlc,VN30Ret1Pct_Lag2,baseline_ohlc
baseline_ohlc,VN30Ret1Pct_Lag3,baseline_ohlc
baseline_ohlc,VN30ColorStreakState_Lag1,baseline_ohlc
baseline_ohlc,VN30ColorStreakState_Lag2,baseline_ohlc
baseline_ohlc,VN30ColorStreakState_Lag3,baseline_ohlc
index_expiry_exvin,TickerGapPct,baseline_ohlc
index_expiry_exvin,TickerBodyPct,baseline_ohlc
index_expiry_exvin,TickerRangePct,baseline_ohlc
index_expiry_exvin,TickerUpperWickPct,baseline_ohlc
index_expiry_exvin,TickerLowerWickPct,baseline_ohlc
index_expiry_exvin,TickerRet1Pct,baseline_ohlc
index_expiry_exvin,TickerRet5Pct,baseline_ohlc
index_expiry_exvin,TickerRet20Pct,baseline_ohlc
index_expiry_exvin,TickerDistSMA20Pct,baseline_ohlc
index_expiry_exvin,TickerDistSMA50Pct,baseline_ohlc
index_expiry_exvin,TickerRangePos20,baseline_ohlc
index_expiry_exvin,TickerRangePos60,baseline_ohlc
index_expiry_exvin,TickerVolRatio20,baseline_ohlc
index_expiry_exvin,TickerVolatility10,baseline_ohlc
index_expiry_exvin,TickerColorStreakState,baseline_ohlc
index_expiry_exvin,TickerLimitProxyState,baseline_ohlc
index_expiry_exvin,TickerShockState1D,baseline_ohlc
index_expiry_exvin,TickerImpulseState3D,baseline_ohlc
index_expiry_exvin,TickerWideRangeState,baseline_ohlc
index_expiry_exvin,TickerTrendRegimeState,baseline_ohlc
index_expiry_exvin,TickerCompressionState,baseline_ohlc
index_expiry_exvin,TickerReclaimState,baseline_ohlc
index_expiry_exvin,TickerRelativeRotationState,baseline_ohlc
index_expiry_exvin,TickerExhaustionState,baseline_ohlc
index_expiry_exvin,TickerDistPriorHigh20Pct,baseline_ohlc
index_expiry_exvin,TickerGapToPriorHigh20Pct,baseline_ohlc
index_expiry_exvin,TickerBreakoutHigh20State,baseline_ohlc
index_expiry_exvin,TickerBreakoutClose20State,baseline_ohlc
index_expiry_exvin,TickerBreakoutHigh20Age,baseline_ohlc
index_expiry_exvin,TickerDistPriorHigh60Pct,baseline_ohlc
index_expiry_exvin,TickerGapToPriorHigh60Pct,baseline_ohlc
index_expiry_exvin,TickerBreakoutHigh60State,baseline_ohlc
index_expiry_exvin,TickerBreakoutClose60State,baseline_ohlc
index_expiry_exvin,TickerBreakoutHigh60Age,baseline_ohlc
index_expiry_exvin,TickerDistPriorHigh120Pct,baseline_ohlc
index_expiry_exvin,TickerGapToPriorHigh120Pct,baseline_ohlc
index_expiry_exvin,TickerBreakoutHigh120State,baseline_ohlc
index_expiry_exvin,TickerBreakoutClose120State,baseline_ohlc
